scheme_code,scheme_name,beta,alpha_annual,r_squared
119386,SBI Mutual Fund Flexi Cap Fund Direct Growth,-0.0004,25.3178,0.0004
120841,Kotak Mahindra Liquid Fund Direct Growth,-0.0007,22.8821,0.0015
120333,Mirae Asset Large Cap Fund Direct Growth,-0.0003,20.7908,0.0004
118551,ICICI Prudential ELSS Fund Direct Growth,0.0006,20.4454,0.0012
120465,HDFC Mutual Fund Small Cap Fund Direct Growth,-0.0,16.1882,0.0
119092,Axis Mutual Fund ELSS Fund Direct Growth,-0.0001,12.3708,0.0
120712,UTI Mutual Fund Flexi Cap Fund Direct Growth,-0.001,12.1606,0.0032
120503,ICICI Prudential Small Cap Fund Direct Growth,-0.0012,12.0538,0.0049
118989,Mirae Asset Short Duration Fund Direct Growth,0.0016,10.7922,0.0102
120594,DSP Mutual Fund Balanced Advantage Fund Direct Growth,0.0,9.0336,0.0
119203,Axis Mutual Fund Short Duration Fund Direct Growth,-0.0,8.283,0.0
125497,HDFC Mutual Fund Large Cap Fund Direct Growth,0.0001,7.8904,0.0001
119775,Franklin Templeton Large Cap Fund Direct Growth,0.0003,7.3834,0.0002
119644,DSP Mutual Fund Mid Cap Fund Direct Growth,0.0005,5.477,0.0007
120178,Nippon India Liquid Fund Direct Growth,-0.0001,2.0726,0.0
118712,Kotak Mahindra Balanced Advantage Fund Direct Growth,-0.0007,0.4943,0.0019
119551,SBI Mutual Fund Mid Cap Fund Direct Growth,0.0009,-2.1583,0.0025
118825,UTI Mutual Fund Mid Cap Fund Direct Growth,-0.0002,-2.2541,0.0002
118890,Franklin Templeton Small Cap Fund Direct Growth,-0.0004,-4.7458,0.0007
118632,Nippon India Flexi Cap Fund Direct Growth,-0.0005,-17.8093,0.0009
