scheme_code,month,aum_cr,folios
125497,2022-01-01,10841.36,289746
125497,2022-02-01,3404.5,468328
125497,2022-03-01,39394.79,325882
125497,2022-04-01,34448.54,451122
125497,2022-05-01,3160.95,363239
125497,2022-06-01,32699.12,423080
125497,2022-07-01,13923.94,59351
125497,2022-08-01,6913.48,315198
125497,2022-09-01,35411.61,211900
125497,2022-10-01,26131.9,451594
125497,2022-11-01,47610.09,166124
125497,2022-12-01,42892.59,219609
125497,2023-01-01,38705.06,53672
125497,2023-02-01,45641.36,45126
125497,2023-03-01,45530.34,159459
125497,2023-04-01,39692.6,176356
125497,2023-05-01,11309.41,499613
125497,2023-06-01,10476.06,16166
125497,2023-07-01,24250.99,117776
125497,2023-08-01,8084.31,29825
125497,2023-09-01,47526.86,443938
125497,2023-10-01,41172.72,247426
125497,2023-11-01,10410.48,405908
125497,2023-12-01,39049.35,45172
125497,2024-01-01,17506.81,208736
125497,2024-02-01,49607.24,230442
125497,2024-03-01,15894.88,56489
125497,2024-04-01,31777.09,237099
125497,2024-05-01,4544.53,126861
125497,2024-06-01,22641.38,358499
125497,2024-07-01,8833.22,486259
125497,2024-08-01,23087.33,215840
125497,2024-09-01,32072.78,178560
125497,2024-10-01,38276.77,468629
125497,2024-11-01,19184.26,117771
125497,2024-12-01,39562.48,484854
119551,2022-01-01,1494.8,472418
119551,2022-02-01,10978.76,59176
119551,2022-03-01,4266.83,63454
119551,2022-04-01,17101.83,243228
119551,2022-05-01,48648.98,166899
119551,2022-06-01,10686.53,236895
119551,2022-07-01,48539.47,88956
119551,2022-08-01,3745.68,257427
119551,2022-09-01,4135.64,88294
119551,2022-10-01,24790.31,337971
119551,2022-11-01,31249.12,452423
119551,2022-12-01,34101.04,424980
119551,2023-01-01,43103.31,237023
119551,2023-02-01,33752.55,371601
119551,2023-03-01,6821.47,451900
119551,2023-04-01,21711.33,241930
119551,2023-05-01,27080.7,236692
119551,2023-06-01,31059.82,196180
119551,2023-07-01,19683.55,9403
119551,2023-08-01,19804.28,279251
119551,2023-09-01,45098.19,210225
119551,2023-10-01,36573.53,187334
119551,2023-11-01,30725.38,175010
119551,2023-12-01,40400.79,193376
119551,2024-01-01,46385.6,414162
119551,2024-02-01,47434.54,380481
119551,2024-03-01,21871.7,174371
119551,2024-04-01,43823.53,456956
