scheme_code,direct_ter,regular_ter,effective_date
125497,0.498,1.816,2024-01-01
119551,0.2,2.382,2024-01-01
120503,0.413,2.21,2024-01-01
118632,0.921,1.672,2024-01-01
119092,0.718,1.562,2024-01-01
120841,0.121,0.857,2024-01-01
118989,0.221,1.397,2024-01-01
120594,0.364,2.468,2024-01-01
119775,0.906,2.06,2024-01-01
118825,0.772,1.692,2024-01-01
120465,0.656,2.266,2024-01-01
119386,0.237,0.839,2024-01-01
118551,0.936,2.428,2024-01-01
120178,0.827,1.989,2024-01-01
119203,0.315,0.823,2024-01-01
118712,0.464,1.999,2024-01-01
120333,0.486,0.941,2024-01-01
119644,0.629,1.887,2024-01-01
118890,0.437,1.312,2024-01-01
120712,0.289,1.161,2024-01-01
121001,0.7,1.868,2024-01-01
121002,0.71,1.538,2024-01-01
121003,0.498,0.91,2024-01-01
121004,0.538,2.198,2024-01-01
121005,0.146,1.252,2024-01-01
121006,0.51,1.851,2024-01-01
121007,0.82,1.836,2024-01-01
121008,0.632,0.895,2024-01-01
121009,0.929,2.495,2024-01-01
121010,0.745,1.561,2024-01-01
121011,0.8,1.149,2024-01-01
121012,0.513,1.542,2024-01-01
121013,0.256,1.825,2024-01-01
121014,0.921,0.805,2024-01-01
121015,0.693,1.31,2024-01-01
121016,0.919,1.712,2024-01-01
121017,0.656,1.981,2024-01-01
121018,0.509,1.333,2024-01-01
121019,0.221,1.487,2024-01-01
121020,0.458,1.176,2024-01-01
