date,scheme_code,nav
2015-01-01,118551,10.1747
2015-01-02,118551,10.1747
2015-01-03,118551,10.1747
2015-01-04,118551,10.1747
2015-01-05,118551,10.1747
2015-01-06,118551,10.1747
2015-01-07,118551,10.1747
2015-01-08,118551,10.1737
2015-01-09,118551,10.1737
2015-01-10,118551,10.1737
2015-01-11,118551,10.1737
2015-01-12,118551,10.1737
2015-01-13,118551,10.1737
2015-01-14,118551,10.1737
2015-01-15,118551,10.0683
2015-01-16,118551,10.0683
2015-01-17,118551,10.0683
2015-01-18,118551,10.0683
2015-01-19,118551,10.0683
2015-01-20,118551,10.0683
2015-01-21,118551,10.0683
2015-01-22,118551,9.964
2015-01-23,118551,9.964
2015-01-24,118551,9.964
2015-01-25,118551,9.964
2015-01-26,118551,9.964
2015-01-27,118551,9.964
2015-01-28,118551,9.964
2015-01-29,118551,10.0299
2015-01-30,118551,10.0299
2015-01-31,118551,10.0299
2015-02-01,118551,10.0299
2015-02-02,118551,10.0299
2015-02-03,118551,10.0299
2015-02-04,118551,10.0299
2015-02-05,118551,10.0292
2015-02-06,118551,10.0292
2015-02-07,118551,10.0292
2015-02-08,118551,10.0292
2015-02-09,118551,10.0292
2015-02-10,118551,10.0292
2015-02-11,118551,10.0292
2015-02-12,118551,10.1035
2015-02-13,118551,10.1035
2015-02-14,118551,10.1035
2015-02-15,118551,10.1035
2015-02-16,118551,10.1035
2015-02-17,118551,10.1035
2015-02-18,118551,10.1035
2015-02-19,118551,10.0644
2015-02-20,118551,10.0644
2015-02-21,118551,10.0644
2015-02-22,118551,10.0644
2015-02-23,118551,10.0644
2015-02-24,118551,10.0644
2015-02-25,118551,10.0644
2015-02-26,118551,10.1353
2015-02-27,118551,10.1353
2015-02-28,118551,10.1353
2015-03-01,118551,10.1353
2015-03-02,118551,10.1353
2015-03-03,118551,10.1353
2015-03-04,118551,10.1353
2015-03-05,118551,10.1265
2015-03-06,118551,10.1265
2015-03-07,118551,10.1265
2015-03-08,118551,10.1265
2015-03-09,118551,10.1265
2015-03-10,118551,10.1265
2015-03-11,118551,10.1265
2015-03-12,118551,10.0713
2015-03-13,118551,10.0713
2015-03-14,118551,10.0713
2015-03-15,118551,10.0713
2015-03-16,118551,10.0713
2015-03-17,118551,10.0713
2015-03-18,118551,10.0713
2015-03-19,118551,10.043
2015-03-20,118551,10.043
2015-03-21,118551,10.043
2015-03-22,118551,10.043
2015-03-23,118551,10.043
2015-03-24,118551,10.043
2015-03-25,118551,10.043
2015-03-26,118551,9.9508
2015-03-27,118551,9.9508
2015-03-28,118551,9.9508
2015-03-29,118551,9.9508
2015-03-30,118551,9.9508
2015-03-31,118551,9.9508
2015-04-01,118551,9.9508
2015-04-02,118551,10.1132
2015-04-03,118551,10.1132
2015-04-04,118551,10.1132
2015-04-05,118551,10.1132
2015-04-06,118551,10.1132
2015-04-07,118551,10.1132
2015-04-08,118551,10.1132
2015-04-09,118551,10.1094
2015-04-10,118551,10.1094
2015-04-11,118551,10.1094
2015-04-12,118551,10.1094
2015-04-13,118551,10.1094
2015-04-14,118551,10.1094
2015-04-15,118551,10.1094
2015-04-16,118551,10.1656
2015-04-17,118551,10.1656
2015-04-18,118551,10.1656
2015-04-19,118551,10.1656
2015-04-20,118551,10.1656
2015-04-21,118551,10.1656
2015-04-22,118551,10.1656
2015-04-23,118551,10.126
2015-04-24,118551,10.126
2015-04-25,118551,10.126
2015-04-26,118551,10.126
2015-04-27,118551,10.126
2015-04-28,118551,10.126
2015-04-29,118551,10.126
2015-04-30,118551,10.0448
2015-05-01,118551,10.0448
2015-05-02,118551,10.0448
2015-05-03,118551,10.0448
2015-05-04,118551,10.0448
2015-05-05,118551,10.0448
2015-05-06,118551,10.0448
2015-05-07,118551,10.03
2015-05-08,118551,10.03
2015-05-09,118551,10.03
2015-05-10,118551,10.03
2015-05-11,118551,10.03
2015-05-12,118551,10.03
2015-05-13,118551,10.03
2015-05-14,118551,10.1224
2015-05-15,118551,10.1224
2015-05-16,118551,10.1224
2015-05-17,118551,10.1224
2015-05-18,118551,10.1224
2015-05-19,118551,10.1224
2015-05-20,118551,10.1224
2015-05-21,118551,10.0843
2015-05-22,118551,10.0843
2015-05-23,118551,10.0843
2015-05-24,118551,10.0843
2015-05-25,118551,10.0843
2015-05-26,118551,10.0843
2015-05-27,118551,10.0843
2015-05-28,118551,10.0181
2015-05-29,118551,10.0181
2015-05-30,118551,10.0181
2015-05-31,118551,10.0181
2015-06-01,118551,10.0181
2015-06-02,118551,10.0181
2015-06-03,118551,10.0181
2015-06-04,118551,10.0346
2015-06-05,118551,10.0346
2015-06-06,118551,10.0346
2015-06-07,118551,10.0346
2015-06-08,118551,10.0346
2015-06-09,118551,10.0346
2015-06-10,118551,10.0346
2015-06-11,118551,10.0786
2015-06-12,118551,10.0786
2015-06-13,118551,10.0786
2015-06-14,118551,10.0786
2015-06-15,118551,10.0786
2015-06-16,118551,10.0786
2015-06-17,118551,10.0786
2015-06-18,118551,10.2151
2015-06-19,118551,10.2151
2015-06-20,118551,10.2151
2015-06-21,118551,10.2151
2015-06-22,118551,10.2151
2015-06-23,118551,10.2151
2015-06-24,118551,10.2151
2015-06-25,118551,10.2481
2015-06-26,118551,10.2481
2015-06-27,118551,10.2481
2015-06-28,118551,10.2481
2015-06-29,118551,10.2481
2015-06-30,118551,10.2481
2015-07-01,118551,10.2481
2015-07-02,118551,10.305
2015-07-03,118551,10.305
2015-07-04,118551,10.305
2015-07-05,118551,10.305
2015-07-06,118551,10.305
2015-07-07,118551,10.305
2015-07-08,118551,10.305
2015-07-09,118551,10.3684
2015-07-10,118551,10.3684
2015-07-11,118551,10.3684
2015-07-12,118551,10.3684
2015-07-13,118551,10.3684
2015-07-14,118551,10.3684
2015-07-15,118551,10.3684
2015-07-16,118551,10.277
2015-07-17,118551,10.277
2015-07-18,118551,10.277
2015-07-19,118551,10.277
2015-07-20,118551,10.277
2015-07-21,118551,10.277
2015-07-22,118551,10.277
2015-07-23,118551,10.2019
2015-07-24,118551,10.2019
2015-07-25,118551,10.2019
2015-07-26,118551,10.2019
2015-07-27,118551,10.2019
2015-07-28,118551,10.2019
2015-07-29,118551,10.2019
2015-07-30,118551,10.1175
2015-07-31,118551,10.1175
2015-08-01,118551,10.1175
2015-08-02,118551,10.1175
2015-08-03,118551,10.1175
2015-08-04,118551,10.1175
2015-08-05,118551,10.1175
2015-08-06,118551,10.0137
2015-08-07,118551,10.0137
2015-08-08,118551,10.0137
2015-08-09,118551,10.0137
2015-08-10,118551,10.0137
2015-08-11,118551,10.0137
2015-08-12,118551,10.0137
2015-08-13,118551,10.0814
2015-08-14,118551,10.0814
2015-08-15,118551,10.0814
2015-08-16,118551,10.0814
2015-08-17,118551,10.0814
2015-08-18,118551,10.0814
2015-08-19,118551,10.0814
2015-08-20,118551,10.1089
2015-08-21,118551,10.1089
2015-08-22,118551,10.1089
2015-08-23,118551,10.1089
2015-08-24,118551,10.1089
2015-08-25,118551,10.1089
2015-08-26,118551,10.1089
2015-08-27,118551,10.1193
2015-08-28,118551,10.1193
2015-08-29,118551,10.1193
2015-08-30,118551,10.1193
2015-08-31,118551,10.1193
2015-09-01,118551,10.1193
2015-09-02,118551,10.1193
2015-09-03,118551,9.9135
2015-09-04,118551,9.9135
2015-09-05,118551,9.9135
2015-09-06,118551,9.9135
2015-09-07,118551,9.9135
2015-09-08,118551,9.9135
2015-09-09,118551,9.9135
2015-09-10,118551,10.0805
2015-09-11,118551,10.0805
2015-09-12,118551,10.0805
2015-09-13,118551,10.0805
2015-09-14,118551,10.0805
2015-09-15,118551,10.0805
2015-09-16,118551,10.0805
2015-09-17,118551,10.0124
2015-09-18,118551,10.0124
2015-09-19,118551,10.0124
2015-09-20,118551,10.0124
2015-09-21,118551,10.0124
2015-09-22,118551,10.0124
2015-09-23,118551,10.0124
2015-09-24,118551,10.1807
2015-09-25,118551,10.1807
2015-09-26,118551,10.1807
2015-09-27,118551,10.1807
2015-09-28,118551,10.1807
2015-09-29,118551,10.1807
2015-09-30,118551,10.1807
