scheme_code,ret_1m,ret_3m,ret_6m,ret_1y,ret_3y,ret_5y,ret_inception,as_of
125497,1.73,5.62,13.96,25.45,16.55,14.83,19.42,2024-12-31
119551,-2.99,2.4,1.35,15.56,15.02,13.84,8.45,2024-12-31
120503,3.21,5.58,7.21,20.73,1.4,14.67,21.17,2024-12-31
118632,1.24,12.44,9.95,15.16,4.98,16.8,12.55,2024-12-31
119092,2.09,-2.46,7.02,9.95,13.79,14.58,17.08,2024-12-31
120841,3.06,5.45,-7.87,12.87,11.33,5.36,15.27,2024-12-31
118989,-0.72,10.83,9.34,11.73,9.42,18.4,14.79,2024-12-31
120594,4.35,-1.2,14.96,18.55,17.39,14.04,14.28,2024-12-31
119775,0.85,7.5,11.72,14.85,7.58,16.58,11.53,2024-12-31
118825,4.98,8.04,-5.74,7.65,9.72,11.67,16.83,2024-12-31
120465,-1.03,-2.41,19.76,12.22,8.76,5.28,14.0,2024-12-31
119386,4.8,6.35,-0.96,1.79,14.55,3.24,10.42,2024-12-31
118551,-1.06,2.41,0.53,12.52,3.4,9.25,11.38,2024-12-31
120178,7.57,3.26,11.69,14.01,9.51,15.83,10.48,2024-12-31
119203,-1.18,2.2,9.72,28.47,3.39,19.34,13.16,2024-12-31
118712,3.84,8.75,7.48,24.79,10.44,14.86,16.7,2024-12-31
120333,0.29,3.05,3.58,5.73,15.62,8.76,12.51,2024-12-31
119644,2.99,1.65,14.99,15.61,15.7,9.97,18.41,2024-12-31
118890,1.1,1.71,6.76,15.75,8.36,19.62,14.58,2024-12-31
120712,-1.53,2.14,-2.39,12.16,14.67,7.6,13.99,2024-12-31
121001,-5.79,-0.82,14.39,12.67,11.07,22.96,15.06,2024-12-31
121002,7.47,1.61,8.32,11.17,18.81,21.94,19.88,2024-12-31
121003,1.38,3.97,13.69,28.98,11.35,23.11,10.2,2024-12-31
121004,-6.16,5.12,10.44,10.67,-2.87,15.21,20.8,2024-12-31
121005,1.96,8.32,21.35,16.73,16.47,11.96,18.36,2024-12-31
121006,2.92,4.46,5.14,-6.23,9.7,15.1,14.92,2024-12-31
121007,-0.59,1.6,7.1,20.59,10.63,17.59,19.14,2024-12-31
121008,-0.57,-0.54,11.32,23.47,13.68,10.57,13.87,2024-12-31
121009,1.15,4.68,5.18,5.58,4.88,8.54,16.0,2024-12-31
121010,4.21,3.03,11.82,9.9,12.37,12.22,13.11,2024-12-31
121011,1.45,3.16,-10.68,17.61,14.67,10.02,18.38,2024-12-31
121012,4.86,4.55,6.56,14.16,13.82,19.08,12.52,2024-12-31
121013,4.03,5.58,6.38,17.73,9.01,10.73,14.82,2024-12-31
121014,0.63,4.58,6.16,11.7,16.96,13.93,17.38,2024-12-31
121015,-2.73,2.82,1.74,28.91,7.01,17.92,18.67,2024-12-31
121016,0.63,0.29,12.44,8.64,8.87,19.26,12.13,2024-12-31
121017,2.52,1.05,3.97,35.53,11.32,14.44,17.64,2024-12-31
121018,1.35,6.89,8.2,23.94,13.48,15.23,11.56,2024-12-31
121019,2.79,1.81,6.78,20.66,10.38,8.92,7.47,2024-12-31
121020,3.36,-1.88,10.0,5.68,18.14,18.1,12.38,2024-12-31
