scheme_code,period,ret_1m,ret_3m,ret_6m,ret_1y,expense_ratio,benchmark_ret,alpha
125497,Jan-2020,2.92,2.59,-9.46,3.98,0.234,1.36,3.926
125497,Apr-2020,1.76,6.89,-0.2,17.7,1.806,10.85,2.382
125497,Jul-2020,0.99,7.54,7.97,9.83,0.384,18.32,1.719
125497,Oct-2020,5.21,2.32,6.1,122.8214225673513,1.029,10.14,-0.287
125497,Jan-2021,-1.78,4.05,15.39,21.33,0.966,19.5,1.548
125497,Apr-2021,-1.77,1.75,6.58,9.39,1.462,17.61,-2.83
125497,Jul-2021,0.76,-11.02,6.36,13.08,1.573,20.86,3.831
125497,Oct-2021,-1.68,-1.59,-0.67,27.74,2.5,9.69,-0.749
125497,Jan-2022,-2.57,5.16,8.07,-6.02,0.313,13.53,1.319
125497,Apr-2022,-0.0,6.53,-3.1,8.65,2.287,8.1,2.281
125497,Jul-2022,-2.24,-0.62,-5.48,-4.51,2.312,14.7,1.213
125497,Oct-2022,4.68,1.54,-7.84,17.1,1.137,12.76,-4.214
125497,Apr-2023,3.08,-0.25,2.44,-0.22,2.025,10.08,-1.657
125497,Jul-2023,3.67,2.99,1.42,21.54,1.738,2.26,3.76
125497,Oct-2023,-1.48,18.33,3.5,-4.63,2.421,11.34,2.004
125497,Jan-2024,2.18,-3.58,-8.55,31.09,1.54,21.5,2.68
125497,Apr-2024,1.56,0.89,22.78,7.28,2.089,15.71,-0.318
125497,Jul-2024,-2.0,2.94,11.44,30.44,0.98,0.94,3.974
125497,Oct-2024,-1.91,-1.43,2.86,8.1,0.272,-2.27,4.987
119551,Jan-2020,3.74,3.16,-0.13,24.66,1.921,8.24,-2.738
119551,Apr-2020,2.66,1.57,8.47,15.06,1.818,13.0,0.611
119551,Jul-2020,2.71,8.0,17.47,3.46,0.236,2.17,3.911
119551,Oct-2020,-0.72,7.46,17.1,15.61,0.105,11.41,0.324
119551,Jan-2021,4.57,2.96,-8.23,21.96,0.386,15.81,3.579
119551,Apr-2021,1.33,-0.44,-1.12,6.93,0.727,0.94,2.561
119551,Jul-2021,1.42,9.94,11.91,7.49,2.168,7.07,4.953
119551,Oct-2021,2.08,6.49,2.6,18.36,0.945,17.61,-1.389
119551,Jan-2022,-4.72,14.81,7.94,14.96,0.39,15.74,3.715
119551,Apr-2022,0.6,7.95,15.19,18.73,1.588,5.09,5.717
119551,Jul-2022,1.45,3.93,1.18,8.26,0.886,20.99,3.493
119551,Oct-2022,2.85,6.63,6.51,3.17,1.498,19.89,1.418
119551,Jan-2023,2.63,4.55,8.83,17.1,2.479,7.39,4.456
119551,Apr-2023,-1.01,4.7,-1.28,12.5,0.953,12.15,3.339
119551,Jul-2023,1.43,13.3,12.57,11.94,0.109,14.27,3.261
119551,Oct-2023,-2.5,6.68,-1.46,18.86,1.266,13.8,-4.314
119551,Jan-2024,-4.15,6.31,-10.18,19.49,1.809,18.81,0.896
119551,Apr-2024,2.52,4.54,-3.31,20.71,1.535,16.14,0.243
119551,Jul-2024,3.42,9.99,15.16,23.24,1.532,14.39,3.114
119551,Oct-2024,4.32,6.08,17.86,-2.45,2.017,14.87,3.757
120503,Jan-2020,5.83,-0.94,17.56,21.33,0.464,6.55,1.991
120503,Apr-2020,2.06,5.21,2.61,19.48,2.249,19.3,5.776
120503,Jul-2020,-1.24,3.8,13.81,16.48,2.124,17.19,-0.014
120503,Oct-2020,1.8,-1.47,12.56,10.21,0.585,10.71,0.297
120503,Jan-2021,2.44,-1.87,19.59,15.67,1.132,9.6,1.544
120503,Apr-2021,4.19,-0.97,4.42,13.55,0.291,17.99,5.475
120503,Jul-2021,1.29,10.66,15.87,20.27,1.567,8.43,6.071
120503,Oct-2021,0.46,6.3,11.74,1.66,0.405,13.22,1.217
120503,Jan-2022,1.08,10.96,1.21,2.58,0.18,16.47,3.604
120503,Apr-2022,3.02,8.06,8.79,9.34,2.33,4.43,0.932
120503,Jul-2022,3.57,4.68,7.16,4.5,0.399,19.48,-0.564
120503,Oct-2022,1.56,8.52,7.3,6.74,0.839,3.96,5.855
120503,Jan-2023,2.05,2.23,-2.91,3.63,0.713,23.36,2.082
120503,Apr-2023,2.24,5.43,23.55,10.03,2.112,9.61,-0.259
120503,Jul-2023,0.96,3.08,10.93,-6.92,0.429,8.41,-0.31
120503,Oct-2023,-2.69,1.68,3.38,10.16,1.535,12.59,-0.479
120503,Jan-2024,-3.71,0.76,1.58,14.37,0.791,3.3,-0.721
120503,Apr-2024,-3.98,9.19,16.09,26.77,0.243,19.78,2.517
120503,Jul-2024,-1.27,0.36,5.8,14.92,2.259,11.99,0.629
120503,Oct-2024,5.26,2.93,5.8,12.04,2.217,3.83,-1.008
118632,Jan-2020,8.54,-4.75,8.9,17.08,1.818,14.2,6.227
118632,Apr-2020,1.92,10.24,14.28,27.88,0.405,14.39,0.577
118632,Jul-2020,1.68,4.57,-7.54,12.71,0.201,3.9,-0.966
118632,Oct-2020,4.67,10.22,2.65,15.57,1.911,19.06,0.167
118632,Jan-2021,0.06,10.2,-0.02,9.52,1.917,21.14,-1.484
118632,Apr-2021,-0.93,6.46,12.23,15.9,0.14,12.78,-2.268
118632,Jul-2021,1.5,10.91,-2.24,6.94,0.244,10.0,6.103
