scheme_code,direct_ter,regular_ter,effective_date
125497,0.498,1.816,01-01-2024
119551,0.2,2.382,01-01-2024
120503,0.413,2.21,01-01-2024
118632,0.921,1.672,01-01-2024
119092,0.718,1.562,01-01-2024
120841,0.121,0.857,01-01-2024
118989,0.221,1.397,01-01-2024
120594,0.364,2.468,01-01-2024
119775,0.906,2.06,01-01-2024
118825,0.772,1.692,01-01-2024
120465,0.656,2.266,01-01-2024
119386,0.237,0.839,01-01-2024
118551,0.936,2.428,01-01-2024
120178,0.827,1.989,01-01-2024
119203,0.315,0.823,01-01-2024
118712,0.464,1.999,01-01-2024
120333,0.486,0.941,01-01-2024
119644,0.629,1.887,01-01-2024
118890,0.437,1.312,01-01-2024
120712,0.289,1.161,01-01-2024
121001,0.7,1.868,01-01-2024
121002,0.71,1.538,01-01-2024
121003,0.498,0.91,01-01-2024
121004,0.538,2.198,01-01-2024
121005,0.146,1.252,01-01-2024
121006,0.51,1.851,01-01-2024
121007,0.82,1.836,01-01-2024
121008,0.632,0.895,01-01-2024
121009,0.929,2.495,01-01-2024
121010,0.745,1.561,01-01-2024
121011,0.8,1.149,01-01-2024
121012,0.513,1.542,01-01-2024
121013,0.256,1.825,01-01-2024
121014,0.921,0.805,01-01-2024
121015,0.693,1.31,01-01-2024
121016,0.919,1.712,01-01-2024
121017,0.656,1.981,01-01-2024
121018,0.509,1.333,01-01-2024
121019,0.221,1.487,01-01-2024
121020,0.458,1.176,01-01-2024
