scheme_code,manager,exp_years,managing_since,qualification
125497,Prashant Jain,13,01-01-2015,CA
119551,R. Srinivasan,10,15-02-2015,CFA
120503,S. Naren,23,01-04-2015,CFA
118632,Sailesh Raj Bhan,18,16-05-2015,CA
119092,Jinesh Gopani,23,30-06-2015,CA
120841,Harish Krishnan,11,14-08-2015,CA
118989,Neelesh Surana,24,28-09-2015,MBA
120594,Apoorva Shah,10,12-11-2015,MBA+CFA
119775,Anand Radhakrishnan,11,27-12-2015,CA
118825,Vetri Subramaniam,10,10-02-2016,CA
120465,Mahesh Patil,16,26-03-2016,MBA+CFA
119386,Atul Penkar,17,10-05-2016,CFA
118551,Sohini Andani,6,24-06-2016,MBA
120178,Roshi Jain,16,08-08-2016,MBA
119203,Shreyash Devalkar,24,22-09-2016,MBA+CFA
118712,Taher Badshah,13,06-11-2016,MBA+CFA
120333,Vinay Paharia,18,21-12-2016,MBA
119644,Amit Ganatra,17,04-02-2017,CA
118890,Chirag Setalvad,24,21-03-2017,CA
120712,Lalit Kumar,17,05-05-2017,MBA
121001,Rupesh Patel,14,19-06-2017,MBA+CFA
121002,Anil Shah,5,03-08-2017,CFA
121003,Suresh Kumar,21,17-09-2017,MBA
121004,Meeta Shetty,11,01-11-2017,CA
121005,Rahul Goswami,23,16-12-2017,MBA+CFA
121006,Priya Rajan,9,30-01-2018,MBA
121007,Kiran Deshpande,13,16-03-2018,CA
121008,Vivek Sharma,21,30-04-2018,CA
121009,Deepak Mehta,8,14-06-2018,CA
121010,Anjali Verma,10,29-07-2018,CA
121011,Rohit Singhania,20,12-09-2018,CA
121012,Neeraj Kumar,11,27-10-2018,MBA
121013,Swati Kulkarni,24,11-12-2018,MBA
121014,Atul Bhole,15,25-01-2019,MBA+CFA
121015,Chandraprakash Padiyar,21,11-03-2019,CFA
121016,Manish Gunwani,15,25-04-2019,MBA+CFA
121017,Pankaj Tibrewal,5,09-06-2019,CFA
121018,Ravi Gopalakrishnan,21,24-07-2019,CFA
121019,Saurabh Mukherjea,13,07-09-2019,MBA
121020,Nilesh Shah,12,22-10-2019,CFA
