scheme_code,direct_ter,regular_ter,effective_date
125497,0.387,2.021,2024-01-01
119551,0.821,1.316,2024-01-01
120503,0.199,1.398,2024-01-01
118632,0.371,1.066,2024-01-01
119092,0.187,1.809,2024-01-01
120841,0.293,2.427,2024-01-01
118989,0.628,1.508,2024-01-01
120594,0.213,2.494,2024-01-01
119775,0.191,1.1,2024-01-01
118825,0.843,2.153,2024-01-01
120465,0.206,2.378,2024-01-01
119386,0.647,1.97,2024-01-01
118551,0.417,0.986,2024-01-01
120178,0.907,1.355,2024-01-01
119203,0.737,0.946,2024-01-01
118712,0.153,1.823,2024-01-01
120333,0.906,2.497,2024-01-01
119644,0.473,1.437,2024-01-01
118890,0.368,1.077,2024-01-01
120712,0.706,1.257,2024-01-01
