txn_id,scheme_code,txn_date,txn_type,amount,units,nav,investor_id,state,kyc_status,folio_no
TXN100000,120712,2023-06-19,SIP,2000.0,26.5915,401.4952,INV1853,Uttar Pradesh,KYC_VERIFIED,FOLIO506147
TXN100001,121020,2024-05-10,Lumpsum,5000.0,126.4222,370.847,INV9477,Tamil Nadu,KYC_VERIFIED,FOLIO925368
TXN100002,121013,2021-06-10,Lumpsum,50000.0,108.402,31.9661,INV5864,Rajasthan,KYC_VERIFIED,FOLIO551170
TXN100003,121002,2024-08-23,Redemption,1000.0,36.8625,380.6628,INV1576,Karnataka,KYC_VERIFIED,FOLIO310805
TXN100004,118825,2022-09-16,SIP,1000.0,56.8337,197.9481,INV8701,Uttar Pradesh,KYC_PENDING,FOLIO144206
TXN100005,118712,2020-10-16,SIP,5000.0,84.0976,251.2345,INV6407,West Bengal,KYC_VERIFIED,FOLIO497754
TXN100006,121014,2021-07-09,Redemption,50000.0,84.8286,177.4141,INV5132,Kerala,KYC_VERIFIED,FOLIO879297
TXN100007,118632,2022-07-13,SIP,5000.0,112.9028,271.9624,INV7427,Rajasthan,KYC_VERIFIED,FOLIO173791
TXN100008,121002,2021-12-24,Lumpsum,5000.0,75.9399,256.3447,INV7967,Telangana,KYC_VERIFIED,FOLIO958480
TXN100009,121005,2022-09-09,Redemption,5000.0,121.3227,87.6435,INV2808,Uttar Pradesh,KYC_VERIFIED,FOLIO741622
TXN100010,121003,2022-11-28,Lumpsum,50000.0,75.2464,58.8836,INV1801,Uttar Pradesh,KYC_VERIFIED,FOLIO339486
TXN100011,120333,2023-07-11,Lumpsum,500.0,104.6732,423.2225,INV4781,Rajasthan,KYC_VERIFIED,FOLIO748143
TXN100012,121004,2023-10-26,SIP,25000.0,12.5716,300.1921,INV5003,Maharashtra,KYC_VERIFIED,FOLIO132512
TXN100013,121011,2021-11-22,SIP,50000.0,100.1493,51.2274,INV8953,Rajasthan,KYC_VERIFIED,FOLIO214106
TXN100014,120465,2021-11-10,Lumpsum,5000.0,129.5415,89.6267,INV2027,Karnataka,KYC_VERIFIED,FOLIO985503
TXN100016,118890,2021-09-01,Redemption,1000.0,47.2581,26.8351,INV3146,Kerala,KYC_VERIFIED,FOLIO232433
TXN100017,118890,2023-01-13,Redemption,25000.0,81.3339,166.7195,INV3286,Kerala,KYC_VERIFIED,FOLIO842088
TXN100018,121017,2021-06-02,Lumpsum,25000.0,19.6928,109.2591,INV6279,Karnataka,KYC_VERIFIED,FOLIO575794
TXN100019,118825,2021-04-02,Lumpsum,50000.0,71.6884,58.8778,INV3946,Uttar Pradesh,KYC_VERIFIED,FOLIO159384
TXN100021,125497,2023-07-10,SIP,10000.0,117.4258,349.2261,INV6932,Maharashtra,KYC_PENDING,FOLIO557829
TXN100022,121020,2020-10-15,Lumpsum,5000.0,130.9546,455.2624,INV6765,Gujarat,KYC_REJECTED,FOLIO682639
TXN100023,121007,2024-05-20,SIP,1000.0,147.0497,266.0872,INV8363,Maharashtra,KYC_VERIFIED,FOLIO795354
TXN100024,119092,2024-08-30,SIP,25000.0,127.8946,43.6897,INV3553,Tamil Nadu,KYC_VERIFIED,FOLIO407744
TXN100025,120465,2020-04-27,SIP,10000.0,136.6444,200.4923,INV8884,Gujarat,KYC_VERIFIED,FOLIO972311
TXN100026,118551,2023-06-06,Lumpsum,2000.0,137.0817,209.9176,INV8196,Karnataka,KYC_VERIFIED,FOLIO396078
TXN100027,121008,2024-12-16,Lumpsum,2000.0,170.9977,295.5977,INV9362,Maharashtra,KYC_VERIFIED,FOLIO154212
TXN100028,121011,2023-03-15,Redemption,25000.0,100.5702,21.5091,INV5305,Karnataka,KYC_VERIFIED,FOLIO275265
TXN100029,121006,2023-12-19,Redemption,10000.0,100.8332,436.0515,INV1919,Delhi,KYC_VERIFIED,FOLIO495203
TXN100030,121001,2022-11-22,SIP,50000.0,24.0662,86.6398,INV7550,West Bengal,KYC_VERIFIED,FOLIO959136
TXN100031,121016,2024-07-31,SIP,1000.0,174.273,324.7231,INV2323,Uttar Pradesh,KYC_VERIFIED,FOLIO544270
TXN100032,121015,2023-03-31,Lumpsum,50000.0,8.6568,193.8235,INV1321,Kerala,KYC_VERIFIED,FOLIO707074
TXN100033,119551,2023-03-08,SIP,50000.0,140.324,66.3721,INV7216,Maharashtra,KYC_VERIFIED,FOLIO297294
TXN100034,120465,2023-06-07,Lumpsum,1000.0,91.8201,285.3972,INV1911,Maharashtra,KYC_VERIFIED,FOLIO301691
TXN100035,121017,2023-12-01,Lumpsum,5000.0,173.7274,319.9505,INV3902,Karnataka,KYC_PENDING,FOLIO983458
TXN100036,119386,2023-02-01,Lumpsum,5000.0,29.3139,269.8718,INV2413,Delhi,KYC_VERIFIED,FOLIO381604
TXN100037,118632,2022-07-26,Lumpsum,50000.0,42.6632,320.064,INV9703,West Bengal,KYC_VERIFIED,FOLIO821743
TXN100038,121003,2024-09-04,Redemption,5000.0,54.8389,241.0841,INV6494,Gujarat,KYC_VERIFIED,FOLIO112833
TXN100039,121012,2024-04-03,SIP,2000.0,84.9096,192.1335,INV4332,Tamil Nadu,KYC_VERIFIED,FOLIO503108
TXN100040,121013,2021-08-26,SIP,25000.0,185.7451,266.1721,INV4679,Telangana,KYC_PENDING,FOLIO114896
TXN100041,120594,2021-05-21,SIP,50000.0,88.9785,172.2623,INV1653,Rajasthan,KYC_VERIFIED,FOLIO604480
