date,scheme_code,nav
2015-01-01,118551,9.9963
2015-01-02,118551,9.9963
2015-01-03,118551,9.9963
2015-01-04,118551,9.9963
2015-01-05,118551,9.9963
2015-01-06,118551,9.9963
2015-01-07,118551,9.9963
2015-01-08,118551,9.8637
2015-01-09,118551,9.8637
2015-01-10,118551,9.8637
2015-01-11,118551,9.8637
2015-01-12,118551,9.8637
2015-01-13,118551,9.8637
2015-01-14,118551,9.8637
2015-01-15,118551,9.8561
2015-01-16,118551,9.8561
2015-01-17,118551,9.8561
2015-01-18,118551,9.8561
2015-01-19,118551,9.8561
2015-01-20,118551,9.8561
2015-01-21,118551,9.8561
2015-01-22,118551,9.9084
2015-01-23,118551,9.9084
2015-01-24,118551,9.9084
2015-01-25,118551,9.9084
2015-01-26,118551,9.9084
2015-01-27,118551,9.9084
2015-01-28,118551,9.9084
2015-01-29,118551,9.8065
2015-01-30,118551,9.8065
2015-01-31,118551,9.8065
2015-02-01,118551,9.8065
2015-02-02,118551,9.8065
2015-02-03,118551,9.8065
2015-02-04,118551,9.8065
2015-02-05,118551,9.8495
2015-02-06,118551,9.8495
2015-02-07,118551,9.8495
2015-02-08,118551,9.8495
2015-02-09,118551,9.8495
2015-02-10,118551,9.8495
2015-02-11,118551,9.8495
2015-02-12,118551,9.8605
2015-02-13,118551,9.8605
2015-02-14,118551,9.8605
2015-02-15,118551,9.8605
2015-02-16,118551,9.8605
2015-02-17,118551,9.8605
2015-02-18,118551,9.8605
2015-02-19,118551,9.8136
2015-02-20,118551,9.8136
2015-02-21,118551,9.8136
2015-02-22,118551,9.8136
2015-02-23,118551,9.8136
2015-02-24,118551,9.8136
2015-02-25,118551,9.8136
2015-02-26,118551,9.8846
2015-02-27,118551,9.8846
2015-02-28,118551,9.8846
2015-03-01,118551,9.8846
2015-03-02,118551,9.8846
2015-03-03,118551,9.8846
2015-03-04,118551,9.8846
2015-03-05,118551,9.7144
2015-03-06,118551,9.7144
2015-03-07,118551,9.7144
2015-03-08,118551,9.7144
2015-03-09,118551,9.7144
2015-03-10,118551,9.7144
2015-03-11,118551,9.7144
2015-03-12,118551,9.7453
2015-03-13,118551,9.7453
2015-03-14,118551,9.7453
2015-03-15,118551,9.7453
2015-03-16,118551,9.7453
2015-03-17,118551,9.7453
2015-03-18,118551,9.7453
2015-03-19,118551,9.8754
2015-03-20,118551,9.8754
2015-03-21,118551,9.8754
2015-03-22,118551,9.8754
2015-03-23,118551,9.8754
2015-03-24,118551,9.8754
2015-03-25,118551,9.8754
2015-03-26,118551,9.9931
2015-03-27,118551,9.9931
2015-03-28,118551,9.9931
2015-03-29,118551,9.9931
2015-03-30,118551,9.9931
2015-03-31,118551,9.9931
2015-04-01,118551,9.9931
2015-04-02,118551,10.0283
2015-04-03,118551,10.0283
