scheme_code,stock,weight_pct,sector,as_of
125497,Titan,0.42,IT,2024-12-31
125497,Kotak Bank,14.92,FMCG,2024-12-31
125497,Asian Paints,12.6,Auto,2024-12-31
125497,ICICI Bank,3.3,IT,2024-12-31
125497,HDFC Bank,8.4,Banking,2024-12-31
125497,Infosys,7.59,Auto,2024-12-31
125497,HUL,21.23,Auto,2024-12-31
125497,Maruti,1.17,Auto,2024-12-31
125497,Axis Bank,30.2,Auto,2024-12-31
125497,Bajaj Finance,0.17,Auto,2024-12-31
119551,Bajaj Finance,13.02,Auto,2024-12-31
119551,Kotak Bank,24.19,IT,2024-12-31
119551,Titan,2.59,FMCG,2024-12-31
119551,Axis Bank,8.98,Banking,2024-12-31
119551,HDFC Bank,6.45,Auto,2024-12-31
119551,HUL,20.74,FMCG,2024-12-31
119551,L&T,1.19,Banking,2024-12-31
119551,Reliance,10.17,Banking,2024-12-31
119551,Maruti,7.53,Auto,2024-12-31
119551,Asian Paints,5.14,Banking,2024-12-31
120503,Wipro,4.68,Energy,2024-12-31
120503,SBI,24.97,IT,2024-12-31
120503,Infosys,25.02,Auto,2024-12-31
120503,Reliance,18.1,Energy,2024-12-31
120503,ICICI Bank,4.01,FMCG,2024-12-31
120503,Axis Bank,4.4,Energy,2024-12-31
120503,HDFC Bank,10.63,IT,2024-12-31
120503,Asian Paints,1.88,Energy,2024-12-31
120503,TCS,3.97,Banking,2024-12-31
120503,Maruti,2.34,Energy,2024-12-31
118632,Kotak Bank,9.74,FMCG,2024-12-31
118632,HUL,3.63,IT,2024-12-31
118632,HDFC Bank,11.56,Auto,2024-12-31
118632,Asian Paints,14.58,FMCG,2024-12-31
118632,Maruti,25.47,IT,2024-12-31
118632,SBI,1.57,IT,2024-12-31
118632,Axis Bank,0.5,Banking,2024-12-31
118632,ICICI Bank,0.87,Energy,2024-12-31
118632,Titan,29.81,Auto,2024-12-31
118632,TCS,2.27,IT,2024-12-31
119092,Wipro,0.72,Auto,2024-12-31
119092,HDFC Bank,11.55,Banking,2024-12-31
119092,Infosys,6.51,FMCG,2024-12-31
119092,SBI,17.93,Energy,2024-12-31
119092,HUL,0.25,Auto,2024-12-31
119092,ICICI Bank,4.15,IT,2024-12-31
119092,Bajaj Finance,4.2,IT,2024-12-31
119092,Axis Bank,28.91,Energy,2024-12-31
119092,Maruti,17.4,Banking,2024-12-31
119092,L&T,8.37,Energy,2024-12-31
120841,Kotak Bank,12.04,IT,2024-12-31
120841,ICICI Bank,9.54,FMCG,2024-12-31
120841,Infosys,0.15,Energy,2024-12-31
120841,HUL,4.23,Auto,2024-12-31
120841,TCS,6.31,Auto,2024-12-31
120841,Reliance,4.9,Banking,2024-12-31
120841,Maruti,35.0,Energy,2024-12-31
120841,SBI,4.58,IT,2024-12-31
120841,Asian Paints,9.77,Banking,2024-12-31
120841,Titan,13.48,Energy,2024-12-31
118989,HUL,10.38,IT,2024-12-31
118989,Asian Paints,20.38,Energy,2024-12-31
118989,Maruti,2.48,Banking,2024-12-31
118989,HDFC Bank,4.46,IT,2024-12-31
118989,Kotak Bank,17.82,Energy,2024-12-31
118989,Infosys,13.81,IT,2024-12-31
118989,SBI,3.7,Auto,2024-12-31
118989,Wipro,5.12,FMCG,2024-12-31
118989,Titan,13.9,Energy,2024-12-31
118989,Axis Bank,7.96,FMCG,2024-12-31
120594,TCS,7.86,Energy,2024-12-31
120594,Kotak Bank,5.72,IT,2024-12-31
120594,Reliance,0.59,FMCG,2024-12-31
120594,Titan,7.84,Energy,2024-12-31
120594,Infosys,5.46,Energy,2024-12-31
120594,HUL,2.9,Energy,2024-12-31
120594,Maruti,10.32,Auto,2024-12-31
120594,Bajaj Finance,18.51,IT,2024-12-31
120594,HDFC Bank,13.76,IT,2024-12-31
120594,L&T,27.04,Auto,2024-12-31
119775,Titan,1.21,Energy,2024-12-31
119775,Maruti,18.82,Auto,2024-12-31
119775,Bajaj Finance,9.37,Energy,2024-12-31
119775,TCS,6.52,IT,2024-12-31
119775,HDFC Bank,12.48,FMCG,2024-12-31
119775,HUL,16.77,FMCG,2024-12-31
119775,ICICI Bank,0.94,IT,2024-12-31
119775,Axis Bank,3.51,FMCG,2024-12-31
119775,Asian Paints,19.98,Banking,2024-12-31
119775,Kotak Bank,10.4,FMCG,2024-12-31
118825,HDFC Bank,0.33,Banking,2024-12-31
118825,Asian Paints,12.39,Auto,2024-12-31
118825,Axis Bank,5.4,Banking,2024-12-31
118825,Wipro,29.01,FMCG,2024-12-31
118825,TCS,11.78,Banking,2024-12-31
118825,Maruti,6.1,Energy,2024-12-31
118825,Reliance,4.89,Auto,2024-12-31
118825,SBI,16.84,FMCG,2024-12-31
118825,Infosys,4.31,FMCG,2024-12-31
118825,Titan,8.95,Auto,2024-12-31
120465,Wipro,1.91,Banking,2024-12-31
120465,Maruti,18.98,Banking,2024-12-31
120465,Kotak Bank,7.44,Energy,2024-12-31
120465,HUL,9.08,IT,2024-12-31
120465,ICICI Bank,12.38,Banking,2024-12-31
120465,TCS,1.02,Auto,2024-12-31
120465,Titan,17.82,Banking,2024-12-31
120465,Reliance,2.76,IT,2024-12-31
120465,HDFC Bank,13.36,Auto,2024-12-31
120465,Infosys,15.26,Energy,2024-12-31
119386,Kotak Bank,3.63,FMCG,2024-12-31
119386,Axis Bank,8.82,Banking,2024-12-31
119386,HDFC Bank,9.2,IT,2024-12-31
119386,SBI,16.31,Banking,2024-12-31
119386,Reliance,8.64,Auto,2024-12-31
119386,Asian Paints,14.07,FMCG,2024-12-31
119386,HUL,24.97,Auto,2024-12-31
119386,Titan,5.15,Banking,2024-12-31
119386,TCS,4.98,FMCG,2024-12-31
119386,Maruti,4.23,Auto,2024-12-31
118551,Reliance,5.08,Auto,2024-12-31
118551,L&T,8.92,Energy,2024-12-31
118551,Bajaj Finance,3.98,Banking,2024-12-31
118551,SBI,3.39,IT,2024-12-31
118551,HUL,18.78,IT,2024-12-31
118551,Asian Paints,23.08,Auto,2024-12-31
118551,Kotak Bank,5.36,Banking,2024-12-31
118551,Wipro,13.3,Auto,2024-12-31
118551,ICICI Bank,7.74,Banking,2024-12-31
118551,Maruti,10.38,Energy,2024-12-31
120178,SBI,7.45,Auto,2024-12-31
120178,TCS,2.59,FMCG,2024-12-31
120178,Titan,6.27,Energy,2024-12-31
120178,Maruti,4.01,IT,2024-12-31
120178,Wipro,13.3,Energy,2024-12-31
