scheme_code,std_dev,beta,sharpe,alpha,r_squared,sortino,as_of
125497,15.387,1.293,2.48,-1.752,0.977,2.273,2024-12-31
119551,5.699,0.799,0.403,0.446,0.759,1.036,2024-12-31
120503,16.777,0.645,1.581,2.82,0.761,1.519,2024-12-31
118632,23.664,1.37,1.315,2.666,0.788,1.406,2024-12-31
119092,12.364,0.649,0.468,-0.052,0.958,0.493,2024-12-31
120841,15.173,1.322,0.771,-0.488,0.818,1.467,2024-12-31
118989,9.551,1.09,1.827,2.782,0.788,1.298,2024-12-31
120594,15.819,1.335,0.538,-1.81,0.915,0.41,2024-12-31
119775,21.051,1.052,2.062,1.897,0.711,2.603,2024-12-31
118825,9.305,1.257,1.675,0.969,0.859,0.774,2024-12-31
120465,16.07,1.177,0.522,-0.326,0.831,1.702,2024-12-31
119386,12.093,1.02,0.931,1.642,0.881,2.44,2024-12-31
118551,19.957,0.891,0.602,-0.48,0.912,1.972,2024-12-31
120178,19.041,0.602,2.055,1.95,0.794,0.84,2024-12-31
119203,18.976,0.801,1.473,-0.957,0.885,2.007,2024-12-31
118712,12.556,1.361,0.306,0.84,0.852,2.37,2024-12-31
120333,16.986,0.82,1.494,1.573,0.739,2.622,2024-12-31
119644,18.022,1.201,1.362,-1.778,0.956,1.228,2024-12-31
118890,18.616,1.007,1.715,2.275,0.919,0.488,2024-12-31
120712,16.505,0.847,0.377,3.252,0.967,1.981,2024-12-31
