scheme_code,period,ret_1m,ret_3m,ret_6m,ret_1y,expense_ratio,benchmark_ret,alpha
125497,Jan-2020,1.41,2.26,12.46,10.02,2.246,4.16,3.28
125497,Apr-2020,-0.48,-1.06,-0.97,3.04,1.441,20.99,-0.108
125497,Jul-2020,-5.43,5.33,-0.8,21.33,1.365,10.36,4.493
125497,Oct-2020,3.05,-2.73,-0.69,166.42047716194634,1.286,6.82,4.425
125497,Jan-2021,-0.4,-1.9,7.15,11.06,1.771,16.89,0.025
125497,Apr-2021,-3.12,-2.49,-8.98,11.53,1.002,5.14,-1.659
125497,Jul-2021,1.15,0.34,5.51,10.69,1.642,8.61,0.278
125497,Oct-2021,-4.45,3.25,7.62,12.4,2.5,12.98,1.109
125497,Jan-2022,2.7,14.06,8.77,-6.01,1.092,6.72,-3.306
125497,Apr-2022,6.29,10.91,0.66,5.91,0.144,6.69,1.162
125497,Jul-2022,-0.94,1.5,-2.83,21.44,0.996,11.4,1.409
125497,Oct-2022,3.09,3.51,19.11,2.15,1.421,11.31,-1.303
125497,Apr-2023,-2.64,12.72,6.73,14.46,2.042,13.14,-2.259
125497,Jul-2023,-1.12,-2.5,16.05,-0.87,1.513,-0.29,-0.725
125497,Oct-2023,-0.18,8.39,5.45,10.3,1.674,9.34,7.525
125497,Jan-2024,-0.57,5.57,12.79,8.42,0.749,8.99,2.185
125497,Apr-2024,1.5,2.8,-1.09,30.77,1.699,2.47,0.449
125497,Jul-2024,-3.51,7.31,6.85,14.04,0.197,10.11,3.468
125497,Oct-2024,4.37,7.73,-3.87,12.32,1.342,7.59,-2.648
119551,Jan-2020,-2.66,11.0,-1.34,14.43,2.221,11.08,0.7
119551,Apr-2020,3.57,3.68,2.62,14.46,0.259,14.86,-0.202
119551,Jul-2020,-0.67,6.07,4.15,10.84,2.452,6.16,2.746
119551,Oct-2020,4.05,9.33,22.24,8.22,1.252,16.9,3.851
119551,Jan-2021,-1.17,5.92,26.07,14.94,0.823,21.46,7.759
119551,Apr-2021,1.94,9.77,1.48,14.22,0.203,0.69,-2.508
119551,Jul-2021,2.49,5.75,-0.29,28.02,1.182,13.54,0.462
119551,Oct-2021,1.52,7.99,12.3,20.37,1.08,4.36,4.336
119551,Jan-2022,-1.98,2.97,4.54,17.15,2.31,11.05,5.547
119551,Apr-2022,-2.69,3.49,-0.8,20.07,2.1,12.23,-1.812
