scheme_code,month,aum_cr,folios
125497,Jan-2022,10841.36,289746
125497,Feb-2022,3404.5,468328
125497,Mar-2022,39394.79,325882
125497,Apr-2022,34448.54,451122
125497,May-2022,3160.95,363239
125497,Jun-2022,32699.12,423080
125497,Jul-2022,13923.94,59351
125497,Aug-2022,6913.48,315198
125497,Sep-2022,35411.61,211900
125497,Oct-2022,26131.9,451594
125497,Nov-2022,47610.09,166124
125497,Dec-2022,42892.59,219609
125497,Jan-2023,38705.06,53672
125497,Feb-2023,45641.36,45126
125497,Mar-2023,45530.34,159459
125497,Apr-2023,39692.6,176356
125497,May-2023,11309.41,499613
125497,Jun-2023,10476.06,16166
125497,Jul-2023,24250.99,117776
125497,Aug-2023,8084.31,29825
125497,Sep-2023,47526.86,443938
125497,Oct-2023,41172.72,247426
125497,Nov-2023,10410.48,405908
125497,Dec-2023,39049.35,45172
125497,Jan-2024,17506.81,208736
125497,Feb-2024,49607.24,230442
125497,Mar-2024,15894.88,56489
125497,Apr-2024,31777.09,237099
125497,May-2024,4544.53,126861
125497,Jun-2024,22641.38,358499
125497,Jul-2024,8833.22,486259
125497,Aug-2024,23087.33,215840
125497,Sep-2024,32072.78,178560
125497,Oct-2024,38276.77,468629
125497,Nov-2024,19184.26,117771
125497,Dec-2024,39562.48,484854
119551,Jan-2022,1494.8,472418
119551,Feb-2022,10978.76,59176
119551,Mar-2022,4266.83,63454
119551,Apr-2022,17101.83,243228
119551,May-2022,48648.98,166899
119551,Jun-2022,10686.53,236895
119551,Jul-2022,48539.47,88956
119551,Aug-2022,3745.68,257427
119551,Sep-2022,4135.64,88294
119551,Oct-2022,24790.31,337971
119551,Nov-2022,31249.12,452423
119551,Dec-2022,34101.04,424980
119551,Jan-2023,43103.31,237023
119551,Feb-2023,33752.55,371601
119551,Mar-2023,6821.47,451900
119551,Apr-2023,21711.33,241930
119551,May-2023,27080.7,236692
119551,Jun-2023,31059.82,196180
119551,Jul-2023,19683.55,9403
119551,Aug-2023,19804.28,279251
119551,Sep-2023,45098.19,210225
119551,Oct-2023,36573.53,187334
119551,Nov-2023,30725.38,175010
119551,Dec-2023,40400.79,193376
119551,Jan-2024,46385.6,414162
119551,Feb-2024,47434.54,380481
119551,Mar-2024,21871.7,174371
119551,Apr-2024,43823.53,456956
119551,May-2024,38143.13,141799
119551,Jun-2024,36533.67,417765
119551,Jul-2024,25664.19,419518
119551,Aug-2024,20942.57,276657
119551,Sep-2024,33248.21,77063
119551,Oct-2024,37009.01,163070
119551,Nov-2024,25305.26,290942
119551,Dec-2024,7446.67,177240
120503,Jan-2022,12850.74,339868
120503,Feb-2022,18555.48,320459
120503,Mar-2022,1755.14,430443
120503,Apr-2022,18381.25,165539
120503,May-2022,11791.61,390893
120503,Jun-2022,35275.88,143871
120503,Jul-2022,37338.7,52672
120503,Aug-2022,5992.6,479490
120503,Sep-2022,15655.08,212331
120503,Oct-2022,30703.86,39445
120503,Nov-2022,917.78,49029
120503,Dec-2022,29390.3,103472
120503,Jan-2023,18001.06,257245
120503,Feb-2023,32047.85,272643
120503,Mar-2023,41963.11,482707
120503,Apr-2023,14016.96,197044
120503,May-2023,26986.38,302489
120503,Jun-2023,2191.52,35770
120503,Jul-2023,22666.64,173289
120503,Aug-2023,460.11,109821
120503,Sep-2023,34000.59,385701
120503,Oct-2023,7479.14,408261
120503,Nov-2023,28238.72,62624
120503,Dec-2023,13510.91,492008
120503,Jan-2024,36567.66,224094
120503,Feb-2024,46611.44,81889
120503,Mar-2024,121.64,115520
120503,Apr-2024,48823.98,148070
120503,May-2024,33567.44,109477
120503,Jun-2024,39589.14,106710
120503,Jul-2024,44914.47,300579
120503,Aug-2024,7885.58,244148
120503,Sep-2024,13003.79,91375
120503,Oct-2024,8139.03,471613
120503,Nov-2024,15664.15,416986
120503,Dec-2024,5369.73,73623
118632,Jan-2022,26149.05,65381
118632,Feb-2022,2403.8,198957
118632,Mar-2022,7345.22,374499
118632,Apr-2022,1327.04,19791
118632,May-2022,9005.66,170577
118632,Jun-2022,837.02,372080
118632,Jul-2022,15293.42,139928
118632,Aug-2022,37210.81,282829
118632,Sep-2022,33926.81,51256
118632,Oct-2022,13853.8,494223
118632,Nov-2022,106.92,488016
118632,Dec-2022,4966.18,20071
118632,Jan-2023,48764.36,84128
118632,Feb-2023,39988.49,285454
118632,Mar-2023,49255.44,331178
118632,Apr-2023,20440.03,422289
118632,May-2023,43806.48,3536
118632,Jun-2023,5787.01,217441
118632,Jul-2023,27451.75,42348
118632,Aug-2023,39248.46,457957
118632,Sep-2023,20156.17,483026
118632,Oct-2023,23262.71,427578
118632,Nov-2023,34260.28,489653
118632,Dec-2023,9816.23,167234
118632,Jan-2024,15742.17,404849
118632,Feb-2024,49489.57,437706
118632,Mar-2024,13269.45,101390
118632,Apr-2024,3647.03,83516
118632,May-2024,37715.6,244935
118632,Jun-2024,27849.4,264472
118632,Jul-2024,2355.8,284534
118632,Aug-2024,45739.69,41447
118632,Sep-2024,28878.87,482194
118632,Oct-2024,10452.32,110384
118632,Nov-2024,12121.07,251715
118632,Dec-2024,2583.19,32815
119092,Jan-2022,36027.27,76935
119092,Feb-2022,19284.8,132614
119092,Mar-2022,26914.41,100895
119092,Apr-2022,23991.44,160711
119092,May-2022,43264.03,409763
119092,Jun-2022,39583.86,122805
119092,Jul-2022,13271.04,364264
119092,Aug-2022,3725.67,94286
119092,Sep-2022,34241.66,223951
119092,Oct-2022,38544.3,206405
119092,Nov-2022,6720.29,138645
119092,Dec-2022,748.05,302071
119092,Jan-2023,11768.12,483832
119092,Feb-2023,2896.33,305213
119092,Mar-2023,18923.71,197448
119092,Apr-2023,36406.57,281269
119092,May-2023,35312.24,259159
119092,Jun-2023,3851.0,74942
119092,Jul-2023,18880.28,335572
119092,Aug-2023,15354.0,121162
119092,Sep-2023,17189.98,27826
119092,Oct-2023,25978.16,199191
119092,Nov-2023,564.26,220090
119092,Dec-2023,13291.92,149703
119092,Jan-2024,11887.53,444847
119092,Feb-2024,12639.77,394520
119092,Mar-2024,7633.14,121136
119092,Apr-2024,19208.78,426061
119092,May-2024,9283.3,278060
119092,Jun-2024,32893.0,375852
119092,Jul-2024,47270.46,411469
119092,Aug-2024,34746.34,439019
119092,Sep-2024,8133.46,67104
119092,Oct-2024,6027.56,242107
119092,Nov-2024,27514.97,298124
119092,Dec-2024,290.77,458474
120841,Jan-2022,43813.14,42685
120841,Feb-2022,7647.35,270119
120841,Mar-2022,42807.7,196458
120841,Apr-2022,22463.47,268911
120841,May-2022,25035.94,492892
120841,Jun-2022,5725.63,74538
120841,Jul-2022,33111.67,280208
120841,Aug-2022,34753.49,440325
120841,Sep-2022,42055.18,116839
120841,Oct-2022,1698.82,422541
120841,Nov-2022,38570.65,445902
120841,Dec-2022,17563.85,386274
120841,Jan-2023,20551.47,18353
120841,Feb-2023,49329.08,372999
120841,Mar-2023,49392.48,105732
120841,Apr-2023,39498.58,237447
120841,May-2023,23356.47,37464
120841,Jun-2023,32521.41,433113
120841,Jul-2023,46838.36,129125
120841,Aug-2023,16576.36,498622
120841,Sep-2023,48968.26,297314
120841,Oct-2023,11980.5,346563
120841,Nov-2023,255.29,203074
120841,Dec-2023,11196.75,342235
120841,Jan-2024,11645.79,218051
120841,Feb-2024,1643.2,276531
120841,Mar-2024,20876.83,89511
120841,Apr-2024,1460.29,399887
120841,May-2024,31234.68,336269
120841,Jun-2024,43155.68,80031
120841,Jul-2024,19595.28,241275
120841,Aug-2024,36218.63,406249
120841,Sep-2024,43903.97,70769
120841,Oct-2024,24357.04,258913
120841,Nov-2024,1967.78,429084
120841,Dec-2024,26146.62,267373
118989,Jan-2022,30359.1,210290
118989,Feb-2022,27044.4,66379
118989,Mar-2022,22756.21,302994
118989,Apr-2022,33061.45,298392
118989,May-2022,18135.03,60105
118989,Jun-2022,19815.38,252522
118989,Jul-2022,38297.95,289439
118989,Aug-2022,14717.78,398415
118989,Sep-2022,13051.34,497208
118989,Oct-2022,38723.41,339483
118989,Nov-2022,642.19,278879
118989,Dec-2022,15455.77,214290
118989,Jan-2023,38349.37,445422
118989,Feb-2023,38934.5,72626
118989,Mar-2023,33104.19,489836
118989,Apr-2023,49513.14,421621
118989,May-2023,23880.1,146507
118989,Jun-2023,35527.05,350006
118989,Jul-2023,42244.21,163669
118989,Aug-2023,5471.62,259544
118989,Sep-2023,48970.21,68995
118989,Oct-2023,48122.49,29361
118989,Nov-2023,12842.38,278375
118989,Dec-2023,47538.01,246749
118989,Jan-2024,33865.36,229527
118989,Feb-2024,16362.05,293195
118989,Mar-2024,14691.06,159149
118989,Apr-2024,29357.98,17356
118989,May-2024,21562.05,178899
118989,Jun-2024,19272.28,112926
118989,Jul-2024,47053.02,318760
118989,Aug-2024,21577.32,424351
118989,Sep-2024,48999.66,394562
118989,Oct-2024,17522.18,231596
118989,Nov-2024,19457.24,50611
118989,Dec-2024,13460.96,437433
120594,Jan-2022,11182.93,249300
120594,Feb-2022,36740.02,480313
120594,Mar-2022,38212.66,311621
120594,Apr-2022,34177.08,370404
120594,May-2022,4653.27,254559
120594,Jun-2022,12521.2,377085
120594,Jul-2022,6707.02,359809
120594,Aug-2022,1490.4,491518
120594,Sep-2022,1678.64,230184
120594,Oct-2022,42225.68,155646
120594,Nov-2022,48899.41,225327
120594,Dec-2022,19832.45,60145
120594,Jan-2023,36741.66,469903
120594,Feb-2023,11745.5,323118
120594,Mar-2023,16527.38,155531
120594,Apr-2023,1866.79,297592
120594,May-2023,37935.63,222192
120594,Jun-2023,41434.47,138427
120594,Jul-2023,34215.08,243318
120594,Aug-2023,38391.32,323061
120594,Sep-2023,3849.21,173459
120594,Oct-2023,26134.7,130725
