scheme_code,direct_expense_pct,regular_expense_pct,effective_date
125497,0.387,2.021,01-01-2024
119551,0.821,1.316,01-01-2024
120503,0.199,1.398,01-01-2024
118632,0.371,1.066,01-01-2024
119092,0.187,1.809,01-01-2024
120841,0.293,2.427,01-01-2024
118989,0.628,1.508,01-01-2024
120594,0.213,2.494,01-01-2024
119775,0.191,1.1,01-01-2024
118825,0.843,2.153,01-01-2024
120465,0.206,2.378,01-01-2024
119386,0.647,1.97,01-01-2024
118551,0.417,0.986,01-01-2024
120178,0.907,1.355,01-01-2024
119203,0.737,0.946,01-01-2024
118712,0.153,1.823,01-01-2024
120333,0.906,2.497,01-01-2024
119644,0.473,1.437,01-01-2024
118890,0.368,1.077,01-01-2024
120712,0.706,1.257,01-01-2024
