scheme_code,manager_name,experience_yrs,managing_since,qualification
125497,Manager_A,10,01-01-2015,CFA
119551,Manager_B,16,01-04-2015,CFA
120503,Manager_C,7,30-06-2015,MBA
118632,Manager_D,16,28-09-2015,MBA+CFA
119092,Manager_E,13,27-12-2015,CFA
120841,Manager_F,9,26-03-2016,CA
118989,Manager_G,16,24-06-2016,CFA
120594,Manager_H,20,22-09-2016,CFA
119775,Manager_I,17,21-12-2016,MBA
118825,Manager_J,6,21-03-2017,MBA+CFA
120465,Manager_K,16,19-06-2017,MBA
119386,Manager_L,17,17-09-2017,MBA+CFA
118551,Manager_M,18,16-12-2017,MBA
120178,Manager_N,13,16-03-2018,MBA
119203,Manager_O,6,14-06-2018,MBA+CFA
118712,Manager_P,7,12-09-2018,MBA+CFA
120333,Manager_Q,11,11-12-2018,MBA+CFA
119644,Manager_R,17,11-03-2019,MBA+CFA
118890,Manager_S,19,09-06-2019,CFA
120712,Manager_T,18,07-09-2019,MBA
