scheme_code,date,nav
125497,01-01-2015,9.9892
125497,08-01-2015,9.9388
125497,15-01-2015,10.04
125497,22-01-2015,10.0316
125497,29-01-2015,10.0012
125497,05-02-2015,9.977
125497,12-02-2015,10.0235
125497,19-02-2015,10.0568
125497,26-02-2015,10.0941
125497,05-03-2015,10.1329
125497,12-03-2015,10.3105
125497,19-03-2015,10.2812
125497,26-03-2015,10.2431
125497,02-04-2015,10.1805
125497,09-04-2015,10.2348
125497,16-04-2015,10.3313
125497,23-04-2015,10.326
125497,30-04-2015,10.2608
125497,07-05-2015,10.1972
125497,14-05-2015,10.2543
125497,21-05-2015,10.3194
125497,28-05-2015,10.3684
125497,04-06-2015,10.3173
125497,11-06-2015,10.3406
125497,18-06-2015,10.3544
125497,25-06-2015,10.3767
125497,02-07-2015,10.4532
125497,09-07-2015,10.476
125497,16-07-2015,10.5371
125497,23-07-2015,10.547
125497,30-07-2015,10.5756
125497,06-08-2015,10.6333
125497,13-08-2015,10.5136
125497,20-08-2015,10.4909
125497,27-08-2015,10.4556
125497,03-09-2015,10.4064
125497,10-09-2015,10.3876
125497,17-09-2015,10.516
125497,24-09-2015,10.4474
125497,01-10-2015,10.5325
125497,08-10-2015,10.3949
125497,15-10-2015,10.3712
125497,22-10-2015,10.3889
125497,29-10-2015,10.4417
125497,05-11-2015,10.5053
125497,12-11-2015,10.5762
125497,19-11-2015,10.5509
125497,26-11-2015,10.5161
125497,03-12-2015,10.5925
125497,10-12-2015,10.5805
125497,17-12-2015,10.4768
125497,24-12-2015,10.386
125497,31-12-2015,10.3137
125497,07-01-2016,10.3589
125497,14-01-2016,10.3748
125497,21-01-2016,10.4363
125497,28-01-2016,10.4048
125497,04-02-2016,10.4222
125497,11-02-2016,10.4785
125497,18-02-2016,10.4567
125497,25-02-2016,10.4991
125497,03-03-2016,10.4477
125497,10-03-2016,10.4216
125497,17-03-2016,10.3939
125497,24-03-2016,10.2986
125497,31-03-2016,10.3429
125497,07-04-2016,10.3082
125497,14-04-2016,10.3133
125497,21-04-2016,10.3571
125497,28-04-2016,10.3983
125497,05-05-2016,10.4578
125497,12-05-2016,10.4537
125497,19-05-2016,10.4225
125497,26-05-2016,10.42
125497,02-06-2016,10.2835
125497,09-06-2016,10.1686
125497,16-06-2016,10.0651
125497,23-06-2016,9.9888
125497,30-06-2016,10.0247
125497,07-07-2016,9.9561
125497,14-07-2016,9.93
125497,21-07-2016,10.0372
125497,28-07-2016,10.0126
125497,04-08-2016,10.0757
125497,11-08-2016,10.0044
125497,18-08-2016,9.992
125497,25-08-2016,9.92
125497,01-09-2016,9.8971
125497,08-09-2016,9.9676
125497,15-09-2016,9.8339
125497,22-09-2016,9.872
125497,29-09-2016,9.8947
125497,06-10-2016,9.8516
125497,13-10-2016,9.7416
125497,20-10-2016,9.7511
125497,27-10-2016,9.7137
125497,03-11-2016,9.7357
125497,10-11-2016,9.7413
125497,17-11-2016,9.87
125497,24-11-2016,9.855
125497,01-12-2016,9.7783
125497,08-12-2016,9.7962
125497,15-12-2016,9.8174
125497,22-12-2016,9.9281
125497,29-12-2016,9.9984
125497,05-01-2017,10.0309
125497,12-01-2017,10.1523
125497,19-01-2017,10.0598
125497,26-01-2017,10.0124
125497,02-02-2017,9.9422
125497,09-02-2017,9.9151
125497,16-02-2017,9.8099
125497,23-02-2017,9.8637
125497,02-03-2017,9.8501
125497,09-03-2017,9.7381
125497,16-03-2017,9.6629
125497,23-03-2017,9.691
125497,30-03-2017,9.7599
125497,06-04-2017,9.9197
125497,13-04-2017,10.1549
125497,20-04-2017,10.1926
125497,27-04-2017,10.116
125497,04-05-2017,9.9475
125497,11-05-2017,9.9728
125497,18-05-2017,9.9119
125497,25-05-2017,9.8829
125497,01-06-2017,9.8385
125497,08-06-2017,9.8313
125497,15-06-2017,9.9191
125497,22-06-2017,9.9356
125497,29-06-2017,9.9269
125497,06-07-2017,9.8486
125497,13-07-2017,9.7206
125497,20-07-2017,9.6867
125497,27-07-2017,9.6864
125497,03-08-2017,9.8273
125497,10-08-2017,9.8415
125497,17-08-2017,9.9228
125497,24-08-2017,9.8871
125497,31-08-2017,9.7973
125497,07-09-2017,9.7256
125497,14-09-2017,9.6731
125497,21-09-2017,9.8416
125497,28-09-2017,9.7809
125497,05-10-2017,9.8504
125497,12-10-2017,9.7832
125497,19-10-2017,9.86
125497,26-10-2017,9.8944
125497,02-11-2017,9.8859
125497,09-11-2017,9.8866
125497,16-11-2017,9.8388
125497,23-11-2017,9.8779
125497,30-11-2017,9.8459
125497,07-12-2017,9.7533
125497,14-12-2017,9.6574
125497,21-12-2017,9.6746
125497,28-12-2017,9.8007
125497,04-01-2018,9.8172
125497,11-01-2018,9.8118
125497,18-01-2018,9.8382
125497,25-01-2018,9.9449
125497,01-02-2018,9.9663
125497,08-02-2018,9.9375
125497,15-02-2018,10.0295
