scheme_code,stock,weight_pct,sector,as_of
125497,HDFC Bank,3.81,FMCG,31-12-2024
125497,ICICI Bank,1.1,Banking,31-12-2024
125497,Wipro,12.87,Auto,31-12-2024
125497,TCS,2.39,Banking,31-12-2024
125497,Maruti,13.52,FMCG,31-12-2024
125497,Bajaj Finance,37.41,FMCG,31-12-2024
125497,SBI,21.2,Banking,31-12-2024
125497,Reliance,1.93,Energy,31-12-2024
125497,HUL,2.47,Energy,31-12-2024
125497,L&T,3.33,Auto,31-12-2024
119551,Infosys,10.2,FMCG,31-12-2024
119551,ICICI Bank,8.21,Auto,31-12-2024
119551,Axis Bank,1.46,Energy,31-12-2024
119551,Bajaj Finance,6.87,FMCG,31-12-2024
119551,SBI,6.93,IT,31-12-2024
119551,Wipro,1.29,Energy,31-12-2024
119551,Titan,4.02,FMCG,31-12-2024
119551,Maruti,25.38,Auto,31-12-2024
119551,L&T,21.02,Banking,31-12-2024
119551,HDFC Bank,14.61,FMCG,31-12-2024
120503,Asian Paints,2.56,IT,31-12-2024
120503,Maruti,16.23,IT,31-12-2024
120503,HDFC Bank,2.76,Banking,31-12-2024
120503,Infosys,23.18,FMCG,31-12-2024
120503,L&T,0.59,IT,31-12-2024
120503,Reliance,3.15,Banking,31-12-2024
120503,Axis Bank,43.03,Energy,31-12-2024
120503,Bajaj Finance,4.54,Auto,31-12-2024
120503,Wipro,0.03,IT,31-12-2024
120503,SBI,3.93,Banking,31-12-2024
118632,Asian Paints,18.73,IT,31-12-2024
118632,HUL,0.17,FMCG,31-12-2024
118632,Reliance,6.75,IT,31-12-2024
118632,Axis Bank,3.12,FMCG,31-12-2024
118632,Wipro,15.72,Energy,31-12-2024
118632,ICICI Bank,9.13,Auto,31-12-2024
118632,Kotak Bank,4.46,IT,31-12-2024
118632,Maruti,9.47,FMCG,31-12-2024
118632,Titan,29.6,FMCG,31-12-2024
118632,Infosys,2.85,Auto,31-12-2024
119092,Maruti,25.86,IT,31-12-2024
119092,Bajaj Finance,5.51,Auto,31-12-2024
119092,ICICI Bank,10.03,FMCG,31-12-2024
119092,Infosys,20.95,IT,31-12-2024
119092,Kotak Bank,2.73,IT,31-12-2024
119092,L&T,0.29,Energy,31-12-2024
119092,TCS,0.13,FMCG,31-12-2024
119092,Wipro,2.35,FMCG,31-12-2024
119092,HDFC Bank,29.43,Banking,31-12-2024
119092,Axis Bank,2.72,FMCG,31-12-2024
120841,TCS,8.45,FMCG,31-12-2024
120841,Reliance,15.81,Energy,31-12-2024
120841,Axis Bank,14.2,Energy,31-12-2024
120841,Wipro,5.22,Banking,31-12-2024
120841,SBI,5.77,Auto,31-12-2024
120841,Titan,7.35,FMCG,31-12-2024
120841,Kotak Bank,0.26,Energy,31-12-2024
120841,Bajaj Finance,10.49,FMCG,31-12-2024
120841,ICICI Bank,9.92,Banking,31-12-2024
120841,HUL,22.54,IT,31-12-2024
118989,HUL,34.59,IT,31-12-2024
118989,L&T,13.97,FMCG,31-12-2024
118989,HDFC Bank,2.23,FMCG,31-12-2024
118989,Axis Bank,0.67,FMCG,31-12-2024
118989,Wipro,15.27,Banking,31-12-2024
118989,Titan,0.7,Auto,31-12-2024
118989,Reliance,8.01,Auto,31-12-2024
118989,SBI,4.93,FMCG,31-12-2024
118989,ICICI Bank,9.32,FMCG,31-12-2024
118989,Maruti,10.29,Energy,31-12-2024
120594,TCS,2.61,Energy,31-12-2024
120594,Titan,14.85,IT,31-12-2024
120594,Asian Paints,3.05,FMCG,31-12-2024
120594,Axis Bank,25.36,FMCG,31-12-2024
120594,Wipro,28.96,Auto,31-12-2024
120594,SBI,13.17,Energy,31-12-2024
120594,Infosys,0.65,IT,31-12-2024
120594,Maruti,9.25,Auto,31-12-2024
120594,L&T,1.23,IT,31-12-2024
120594,Reliance,0.86,Banking,31-12-2024
119775,ICICI Bank,4.81,Auto,31-12-2024
119775,Infosys,20.89,IT,31-12-2024
119775,Asian Paints,15.45,IT,31-12-2024
119775,Reliance,1.32,Energy,31-12-2024
119775,Axis Bank,4.9,Banking,31-12-2024
119775,HUL,0.29,FMCG,31-12-2024
119775,SBI,1.91,FMCG,31-12-2024
119775,Titan,10.28,FMCG,31-12-2024
119775,Kotak Bank,9.92,FMCG,31-12-2024
119775,Maruti,30.21,Auto,31-12-2024
118825,L&T,17.2,Banking,31-12-2024
118825,SBI,2.54,IT,31-12-2024
118825,Infosys,7.73,Auto,31-12-2024
118825,Bajaj Finance,2.57,Banking,31-12-2024
118825,HDFC Bank,14.55,Energy,31-12-2024
118825,HUL,4.37,Banking,31-12-2024
118825,Maruti,3.96,Auto,31-12-2024
118825,Axis Bank,7.54,Auto,31-12-2024
118825,Kotak Bank,7.61,Energy,31-12-2024
118825,Reliance,31.92,Auto,31-12-2024
120465,Infosys,1.45,Energy,31-12-2024
120465,Maruti,0.73,IT,31-12-2024
120465,ICICI Bank,5.36,FMCG,31-12-2024
120465,Axis Bank,1.54,Auto,31-12-2024
120465,SBI,19.58,Energy,31-12-2024
120465,Kotak Bank,4.9,Energy,31-12-2024
120465,Reliance,30.31,Auto,31-12-2024
120465,HUL,0.16,Banking,31-12-2024
120465,Bajaj Finance,8.17,Banking,31-12-2024
120465,TCS,27.79,Auto,31-12-2024
119386,Maruti,6.49,FMCG,31-12-2024
119386,Wipro,24.19,FMCG,31-12-2024
119386,TCS,2.44,Auto,31-12-2024
119386,HUL,2.9,Energy,31-12-2024
119386,ICICI Bank,7.5,Banking,31-12-2024
119386,Bajaj Finance,4.54,IT,31-12-2024
119386,Titan,18.05,IT,31-12-2024
119386,Kotak Bank,9.98,Energy,31-12-2024
119386,Asian Paints,9.72,Banking,31-12-2024
119386,Reliance,14.2,Banking,31-12-2024
118551,Asian Paints,9.47,Banking,31-12-2024
118551,Titan,10.81,Auto,31-12-2024
118551,Infosys,1.43,Energy,31-12-2024
118551,Reliance,2.48,FMCG,31-12-2024
118551,L&T,2.54,Auto,31-12-2024
118551,Wipro,38.59,FMCG,31-12-2024
118551,ICICI Bank,2.04,Auto,31-12-2024
118551,HUL,26.62,IT,31-12-2024
118551,Maruti,2.43,FMCG,31-12-2024
118551,Kotak Bank,3.61,Banking,31-12-2024
120178,Maruti,0.9,Banking,31-12-2024
120178,ICICI Bank,6.62,Banking,31-12-2024
120178,Bajaj Finance,0.44,IT,31-12-2024
120178,Reliance,26.18,Energy,31-12-2024
120178,HDFC Bank,16.57,IT,31-12-2024
120178,SBI,9.51,Auto,31-12-2024
120178,Asian Paints,5.58,FMCG,31-12-2024
120178,Infosys,26.09,Auto,31-12-2024
120178,Kotak Bank,2.96,IT,31-12-2024
120178,Axis Bank,5.14,Energy,31-12-2024
119203,Bajaj Finance,0.64,Energy,31-12-2024
119203,L&T,8.24,FMCG,31-12-2024
119203,Infosys,9.56,FMCG,31-12-2024
119203,SBI,5.86,Energy,31-12-2024
119203,Kotak Bank,22.68,FMCG,31-12-2024
119203,TCS,16.79,Banking,31-12-2024
119203,HDFC Bank,14.26,Auto,31-12-2024
119203,Titan,11.64,Auto,31-12-2024
119203,Asian Paints,8.84,IT,31-12-2024
119203,ICICI Bank,1.47,Auto,31-12-2024
118712,Maruti,17.51,FMCG,31-12-2024
118712,Infosys,5.08,Energy,31-12-2024
118712,Bajaj Finance,1.97,IT,31-12-2024
118712,HDFC Bank,16.5,IT,31-12-2024
118712,ICICI Bank,9.35,Banking,31-12-2024
118712,Kotak Bank,12.56,IT,31-12-2024
118712,Reliance,7.83,FMCG,31-12-2024
118712,Wipro,9.11,Auto,31-12-2024
118712,L&T,0.92,IT,31-12-2024
118712,SBI,19.16,FMCG,31-12-2024
120333,Titan,24.97,Auto,31-12-2024
120333,Asian Paints,18.57,Energy,31-12-2024
120333,Maruti,6.07,IT,31-12-2024
120333,L&T,7.46,Banking,31-12-2024
120333,ICICI Bank,1.25,Auto,31-12-2024
120333,HDFC Bank,0.28,FMCG,31-12-2024
120333,HUL,11.88,Energy,31-12-2024
120333,TCS,3.05,Banking,31-12-2024
120333,Wipro,5.01,FMCG,31-12-2024
120333,Kotak Bank,21.47,Banking,31-12-2024
119644,Infosys,1.45,Banking,31-12-2024
119644,Kotak Bank,3.1,Auto,31-12-2024
119644,Reliance,21.11,IT,31-12-2024
119644,L&T,35.26,Energy,31-12-2024
119644,Titan,5.27,Banking,31-12-2024
119644,Wipro,2.48,Energy,31-12-2024
119644,HUL,5.19,Banking,31-12-2024
119644,SBI,24.82,Auto,31-12-2024
119644,Bajaj Finance,0.58,Auto,31-12-2024
119644,Asian Paints,0.74,FMCG,31-12-2024
118890,SBI,10.71,FMCG,31-12-2024
118890,Reliance,2.95,Auto,31-12-2024
118890,Wipro,1.44,Banking,31-12-2024
118890,HDFC Bank,8.62,Energy,31-12-2024
118890,L&T,39.47,Banking,31-12-2024
118890,Infosys,11.15,FMCG,31-12-2024
118890,Titan,0.15,Energy,31-12-2024
118890,HUL,9.75,Auto,31-12-2024
118890,Axis Bank,1.73,Energy,31-12-2024
118890,Maruti,14.03,Banking,31-12-2024
120712,Bajaj Finance,2.49,Banking,31-12-2024
120712,HUL,2.25,FMCG,31-12-2024
120712,Infosys,12.02,IT,31-12-2024
