scheme_code,ret_1m,ret_3m,ret_6m,ret_1y,ret_3y,ret_5y,ret_inception,as_of
125497,1.25,-0.93,3.21,4.25,16.95,10.93,10.56,31-12-2024
119551,1.6,2.29,13.9,9.78,12.75,23.15,9.39,31-12-2024
120503,1.78,2.92,7.17,21.21,5.62,10.42,15.73,31-12-2024
118632,2.04,-1.0,8.77,20.02,12.54,3.8,15.25,31-12-2024
119092,2.26,6.66,5.73,17.9,25.06,10.88,13.06,31-12-2024
120841,3.94,1.83,-8.93,19.4,20.23,15.55,13.36,31-12-2024
118989,1.34,1.81,0.18,-2.67,-2.87,17.03,16.36,31-12-2024
120594,-0.84,4.63,6.25,26.71,12.32,23.74,19.87,31-12-2024
119775,0.84,2.98,9.19,12.37,16.66,19.83,12.27,31-12-2024
118825,3.08,6.85,-3.74,23.97,11.09,14.35,15.31,31-12-2024
120465,-3.27,-0.23,6.68,-2.27,9.7,9.49,18.35,31-12-2024
119386,-3.25,-2.09,0.27,16.05,10.67,20.81,12.28,31-12-2024
118551,3.5,2.26,8.41,9.49,14.76,11.84,14.95,31-12-2024
120178,5.0,3.74,6.88,18.58,6.26,10.54,14.87,31-12-2024
119203,-1.96,-1.46,11.46,16.54,17.94,11.62,10.41,31-12-2024
118712,1.45,-2.05,13.4,16.93,11.72,7.86,15.59,31-12-2024
120333,0.2,4.23,9.75,5.53,7.32,11.41,15.11,31-12-2024
119644,0.55,0.47,12.16,13.54,17.62,12.45,16.94,31-12-2024
118890,1.96,-2.31,4.9,12.56,4.27,16.79,10.85,31-12-2024
120712,-2.03,7.36,23.94,17.96,9.22,11.75,15.03,31-12-2024
