scheme_code,date,amount,units,nav
125497,01-01-2020,500,49.8716,89.8492
125497,01-02-2020,2000,33.8789,109.9156
125497,01-03-2020,5000,20.2526,113.6755
125497,01-04-2020,1000,21.9572,35.8703
125497,01-05-2020,1000,37.6215,107.0544
125497,01-06-2020,500,5.9547,42.8147
125497,01-07-2020,500,7.1696,284.9212
125497,01-08-2020,500,30.5762,130.3268
125497,01-09-2020,2000,10.0769,216.5168
125497,01-10-2020,2000,48.6316,56.584
125497,01-11-2020,5000,33.2899,62.5404
125497,01-12-2020,500,10.6724,207.7355
125497,01-01-2021,5000,14.7982,250.4901
125497,01-02-2021,2000,9.7363,113.121
125497,01-03-2021,500,32.6256,188.0199
125497,01-04-2021,2000,35.8823,201.0096
125497,01-05-2021,500,30.5945,132.3597
125497,01-06-2021,5000,39.474,92.5871
125497,01-07-2021,5000,17.5993,154.5066
125497,01-08-2021,5000,38.2637,195.7446
125497,01-09-2021,500,25.0952,247.3196
125497,01-10-2021,500,49.8544,150.7034
125497,01-11-2021,1000,21.4784,157.1784
125497,01-12-2021,500,8.3043,261.9925
125497,01-01-2022,5000,23.7252,131.2117
125497,01-02-2022,2000,6.2739,165.2852
125497,01-03-2022,1000,20.5648,204.4296
125497,01-04-2022,1000,23.4965,180.0939
125497,01-05-2022,500,21.3749,131.4187
125497,01-06-2022,5000,43.9657,120.2663
125497,01-07-2022,2000,41.0366,185.7227
125497,01-08-2022,1000,47.0249,151.7856
125497,01-09-2022,5000,6.9318,75.2449
125497,01-10-2022,1000,29.3,72.391
125497,01-11-2022,1000,17.7493,25.8277
125497,01-12-2022,1000,26.3799,200.9556
125497,01-01-2023,2000,39.9437,60.8951
125497,01-02-2023,1000,9.1081,281.7556
125497,01-03-2023,2000,23.2945,137.5809
125497,01-04-2023,5000,43.2966,168.5459
125497,01-05-2023,2000,10.1693,56.7166
125497,01-06-2023,500,40.1344,188.531
125497,01-07-2023,1000,12.2933,54.5698
125497,01-08-2023,1000,38.3624,268.0415
125497,01-09-2023,1000,39.772,99.276
125497,01-10-2023,2000,31.3549,142.6509
125497,01-11-2023,1000,26.9315,257.1003
125497,01-12-2023,500,7.3302,153.5897
125497,01-01-2024,1000,40.5532,158.166
125497,01-02-2024,5000,12.7105,257.5873
125497,01-03-2024,500,17.4569,54.7971
125497,01-04-2024,500,25.6554,196.1754
125497,01-05-2024,2000,25.7602,291.8017
125497,01-06-2024,5000,31.8136,189.2348
125497,01-07-2024,2000,13.5552,181.4553
125497,01-08-2024,500,37.4396,77.3179
125497,01-09-2024,1000,21.029,142.8539
125497,01-10-2024,1000,14.9959,59.4024
125497,01-11-2024,500,44.1013,245.4632
125497,01-12-2024,1000,9.5744,44.5864
119551,01-01-2020,1000,17.4822,250.5592
119551,01-02-2020,1000,26.8782,258.7582
119551,01-03-2020,2000,48.6535,234.7884
119551,01-04-2020,500,37.9344,283.2605
119551,01-05-2020,1000,11.7,159.1322
119551,01-06-2020,1000,41.6851,260.672
119551,01-07-2020,1000,37.9536,89.1468
119551,01-08-2020,1000,15.3746,184.1527
119551,01-09-2020,5000,12.2474,233.1815
119551,01-10-2020,1000,28.9466,165.7098
119551,01-11-2020,5000,15.8513,213.9582
119551,01-12-2020,500,43.3356,69.6194
119551,01-01-2021,2000,40.4643,248.1753
119551,01-02-2021,5000,31.1785,118.5158
119551,01-03-2021,5000,26.5975,82.1219
119551,01-04-2021,5000,23.1074,148.1607
119551,01-05-2021,1000,45.3904,135.1262
119551,01-06-2021,2000,17.8165,289.4574
119551,01-07-2021,1000,5.5002,257.9499
119551,01-08-2021,500,47.9501,210.9969
119551,01-09-2021,5000,29.469,252.9604
119551,01-10-2021,1000,44.8403,48.7072
119551,01-11-2021,2000,32.7807,29.038
119551,01-12-2021,5000,9.8819,32.7496
119551,01-01-2022,2000,24.1933,220.3724
119551,01-02-2022,5000,5.0773,242.0882
119551,01-03-2022,500,46.5621,165.8513
119551,01-04-2022,1000,40.496,196.2507
119551,01-05-2022,1000,47.671,158.7678
119551,01-06-2022,2000,45.1575,30.1017
119551,01-07-2022,500,46.0248,271.7971
119551,01-08-2022,2000,26.8274,152.1872
119551,01-09-2022,2000,20.0757,282.4052
119551,01-10-2022,5000,16.2808,40.8314
119551,01-11-2022,1000,23.2126,119.6177
119551,01-12-2022,5000,19.4409,294.5238
119551,01-01-2023,5000,49.6361,116.2027
119551,01-02-2023,2000,23.6286,79.2936
119551,01-03-2023,500,7.7902,20.1562
119551,01-04-2023,1000,25.3883,228.8867
119551,01-05-2023,500,28.3102,144.7725
119551,01-06-2023,1000,28.7062,237.1691
119551,01-07-2023,500,42.7126,79.4804
119551,01-08-2023,5000,25.603,252.6816
119551,01-09-2023,500,29.4343,158.04
119551,01-10-2023,5000,39.4068,297.6744
119551,01-11-2023,500,12.4295,253.6059
119551,01-12-2023,1000,36.9691,60.6212
119551,01-01-2024,1000,29.8951,224.8104
119551,01-02-2024,1000,40.1291,63.6048
119551,01-03-2024,1000,38.4855,52.5115
119551,01-04-2024,500,27.4172,172.8778
119551,01-05-2024,2000,40.8351,35.5164
119551,01-06-2024,1000,39.985,200.8892
119551,01-07-2024,1000,44.2568,76.629
119551,01-08-2024,2000,41.0348,72.5769
119551,01-09-2024,500,6.4744,174.8952
119551,01-10-2024,5000,12.5608,134.233
119551,01-11-2024,5000,13.7221,37.0745
119551,01-12-2024,500,5.3602,221.4056
120503,01-01-2020,500,7.0516,282.9115
120503,01-02-2020,1000,34.9525,93.9965
120503,01-03-2020,5000,27.017,179.5798
120503,01-04-2020,1000,43.5853,185.1721
120503,01-05-2020,5000,37.7064,296.7848
120503,01-06-2020,5000,29.7837,209.9658
120503,01-07-2020,5000,38.9636,26.8403
120503,01-08-2020,2000,10.7363,83.7623
120503,01-09-2020,1000,45.7416,222.3289
120503,01-10-2020,1000,11.4477,139.3794
120503,01-11-2020,1000,42.3439,276.9832
120503,01-12-2020,500,12.3931,136.6398
120503,01-01-2021,500,34.569,263.0671
120503,01-02-2021,5000,21.0962,78.7167
120503,01-03-2021,2000,11.1842,255.1725
120503,01-04-2021,2000,38.9677,105.3739
120503,01-05-2021,1000,40.9637,281.7749
120503,01-06-2021,1000,20.8472,241.1977
120503,01-07-2021,1000,45.6593,212.15
120503,01-08-2021,500,11.8733,227.1521
120503,01-09-2021,2000,38.4034,116.5657
120503,01-10-2021,2000,38.291,251.4396
120503,01-11-2021,5000,14.3581,268.6064
120503,01-12-2021,1000,32.9312,148.9084
120503,01-01-2022,5000,11.1203,246.9637
120503,01-02-2022,5000,27.087,31.9068
120503,01-03-2022,2000,40.013,80.1316
120503,01-04-2022,5000,46.5663,281.8968
120503,01-05-2022,5000,10.7227,72.1868
120503,01-06-2022,5000,38.9315,275.8656
120503,01-07-2022,1000,25.7373,63.3423
120503,01-08-2022,500,26.5104,199.9082
120503,01-09-2022,5000,33.9317,199.13
120503,01-10-2022,500,25.4754,270.7126
120503,01-11-2022,500,7.309,158.8327
120503,01-12-2022,500,28.9866,94.673
120503,01-01-2023,500,16.4177,95.6453
120503,01-02-2023,5000,41.4944,278.3906
120503,01-03-2023,500,5.8574,119.5218
120503,01-04-2023,2000,15.0773,163.0851
120503,01-05-2023,500,22.6596,170.4608
120503,01-06-2023,2000,39.1937,88.9212
120503,01-07-2023,500,41.2536,30.3666
120503,01-08-2023,500,11.7768,23.4599
120503,01-09-2023,2000,32.0039,168.6886
120503,01-10-2023,2000,23.6421,168.1282
120503,01-11-2023,5000,42.1809,294.6164
120503,01-12-2023,500,29.328,124.8196
120503,01-01-2024,500,13.6882,109.8166
120503,01-02-2024,5000,47.2991,72.1624
120503,01-03-2024,500,29.5859,184.4769
120503,01-04-2024,500,31.8718,66.0539
120503,01-05-2024,1000,15.9027,285.4687
120503,01-06-2024,2000,15.2581,24.8472
120503,01-07-2024,1000,14.1282,196.0007
120503,01-08-2024,2000,15.3146,139.8636
120503,01-09-2024,2000,24.2965,58.2257
120503,01-10-2024,500,20.2088,75.7009
120503,01-11-2024,5000,37.8209,66.7094
120503,01-12-2024,5000,8.7307,27.2085
118632,01-01-2020,1000,26.608,131.9673
118632,01-02-2020,500,48.7175,241.8288
118632,01-03-2020,1000,12.152,27.4477
118632,01-04-2020,500,11.2202,168.2368
118632,01-05-2020,500,7.6941,53.0852
118632,01-06-2020,500,35.1236,25.4203
118632,01-07-2020,2000,22.1354,114.2445
118632,01-08-2020,5000,26.3666,165.0013
118632,01-09-2020,1000,26.8847,115.1255
118632,01-10-2020,1000,19.4903,27.6483
118632,01-11-2020,1000,32.7772,207.2697
118632,01-12-2020,2000,47.3475,152.4637
118632,01-01-2021,5000,24.9774,153.7319
118632,01-02-2021,5000,33.4829,80.4524
118632,01-03-2021,5000,27.9424,39.2107
118632,01-04-2021,500,15.6496,242.1554
118632,01-05-2021,1000,6.198,37.0076
118632,01-06-2021,1000,46.3782,287.8812
118632,01-07-2021,5000,13.3225,123.0641
118632,01-08-2021,2000,18.746,239.8438
118632,01-09-2021,2000,40.0845,120.943
118632,01-10-2021,2000,44.128,140.1655
118632,01-11-2021,5000,27.0094,185.7056
118632,01-12-2021,1000,45.235,148.1716
118632,01-01-2022,2000,22.7151,110.8804
118632,01-02-2022,5000,18.2771,25.9226
118632,01-03-2022,2000,8.5655,113.6128
