,scheme_code,scheme_name,score,cagr_3y,sharpe,alpha_annual,direct_ter,max_dd
1,119092,Axis Mutual Fund ELSS Fund Direct Growth,64.5,2.65,-0.9705457566978494,12.3708,0.187,-14.38
2,118989,Mirae Asset Short Duration Fund Direct Growth,62.5,7.08,-0.9623405030313767,10.7922,0.628,-18.5
3,118712,Kotak Mahindra Balanced Advantage Fund Direct Growth,61.25,0.24,-1.4094136001441295,0.4943,0.153,-19.24
4,120841,Kotak Mahindra Liquid Fund Direct Growth,61.25,4.64,-0.701240493888619,22.8821,0.293,-7.63
5,120594,DSP Mutual Fund Balanced Advantage Fund Direct Growth,58.75,1.33,-1.093119658115682,9.0336,0.213,-17.28
6,120712,UTI Mutual Fund Flexi Cap Fund Direct Growth,58.5,3.09,-1.030705951707523,12.1606,0.706,-18.98
7,119775,Franklin Templeton Large Cap Fund Direct Growth,57.5,0.98,-1.1307062741758838,7.3834,0.191,-11.63
8,119551,SBI Mutual Fund Mid Cap Fund Direct Growth,57.5,3.34,-1.3564402012371455,-2.1583,0.821,-17.76
9,120503,ICICI Prudential Small Cap Fund Direct Growth,57.0,0.94,-1.0463861041617357,12.0538,0.199,-12.32
10,118551,ICICI Prudential ELSS Fund Direct Growth,56.0,5.31,-0.6767791842294361,20.4454,0.417,-7.41
11,125497,HDFC Mutual Fund Large Cap Fund Direct Growth,55.0,1.95,-1.1375070035350647,7.8904,0.387,-9.45
12,120333,Mirae Asset Large Cap Fund Direct Growth,51.5,3.99,-0.7881225742707395,20.7908,0.906,-8.77
13,118890,Franklin Templeton Small Cap Fund Direct Growth,51.0,-1.63,-1.4774145912852203,-4.7458,0.368,-28.75
14,120465,HDFC Mutual Fund Small Cap Fund Direct Growth,47.25,-0.55,-0.8826255835089432,16.1882,0.206,-9.48
15,118632,Nippon India Flexi Cap Fund Direct Growth,46.5,-3.83,-1.9251394803455253,-17.8093,0.371,-37.99
16,118825,UTI Mutual Fund Mid Cap Fund Direct Growth,45.75,-0.67,-1.42396814198912,-2.2541,0.843,-20.91
17,120178,Nippon India Liquid Fund Direct Growth,43.0,0.39,-1.286964972445562,2.0726,0.907,-11.58
18,119203,Axis Mutual Fund Short Duration Fund Direct Growth,42.75,-3.76,-1.1530487723002854,8.283,0.737,-20.12
19,119386,SBI Mutual Fund Flexi Cap Fund Direct Growth,37.0,-1.57,-0.5889030787871452,25.3178,0.647,-10.05
20,119644,DSP Mutual Fund Mid Cap Fund Direct Growth,35.5,-2.45,-1.0952179639795818,5.477,0.473,-11.48
