scheme_code,scheme_name,risk_grade,var_95_daily_pct,cvar_95_daily_pct,ann_return_pct,ann_vol_pct
118632,Nippon India Flexi Cap Fund Direct Growt,High,-0.3843,-0.9163,-2.85,4.73
118890,L&T Mutual Fund Small Cap Fund Direct Gr,High,-0.3648,-0.8762,-1.45,4.93
121003,ICICI Prudential Short Duration Fund Dir,Moderately High,-0.3504,-0.8569,-0.4,4.83
118825,UTI Mutual Fund Mid Cap Fund Direct Grow,Very High,-0.3199,-0.8838,-0.88,4.89
121009,Franklin Templeton ELSS Fund Direct Grow,High,-0.3096,-0.8388,0.8,4.93
121001,HDFC Mutual Fund ELSS Fund Direct Growth,Low,-0.3086,-0.81,0.45,4.73
121010,UTI Mutual Fund Liquid Fund Direct Growt,Very High,-0.3076,-0.7776,2.05,4.77
121005,Axis Mutual Fund Large Cap Fund Direct G,Very High,-0.3051,-0.7807,-0.23,4.44
121012,Aditya Birla Balanced Advantage Fund Dir,Moderate,-0.2996,-0.812,1.24,4.79
118712,Edelweiss Balanced Advantage Fund Direct,Low,-0.2932,-0.8346,-0.3,4.7
121006,Kotak Mahindra Mid Cap Fund Direct Growt,Low,-0.2923,-0.7988,1.1,4.9
120178,PGIM India Liquid Fund Direct Growth,High,-0.2839,-0.8097,0.4,4.8
119775,Franklin Templeton Large Cap Fund Direct,High,-0.2767,-0.7849,1.41,4.74
119644,Sundaram Mid Cap Fund Direct Growth,Moderately High,-0.2735,-0.8864,1.02,5.11
120841,Kotak Mahindra Liquid Fund Direct Growth,Low,-0.2679,-0.7849,2.71,4.9
120594,DSP Mutual Fund Balanced Advantage Fund ,Moderately High,-0.2661,-0.8007,1.11,4.74
120503,ICICI Prudential Small Cap Fund Direct G,Moderately High,-0.2598,-0.8601,1.16,5.04
121002,SBI Mutual Fund Liquid Fund Direct Growt,Moderate,-0.2596,-0.8005,2.42,4.93
121013,Canara Robeco Large Cap Fund Direct Grow,Moderately High,-0.258,-0.7771,1.95,4.79
121007,Mirae Asset Small Cap Fund Direct Growth,Moderate,-0.2548,-0.8271,1.32,4.89
119203,Invesco India Short Duration Fund Direct,Very High,-0.2546,-0.7845,1.18,4.69
125497,HDFC Mutual Fund Large Cap Fund Direct G,Low,-0.2517,-0.8024,0.93,4.73
121017,Motilal Oswal ELSS Fund Direct Growth,Moderate,-0.2474,-0.8037,0.87,4.58
121011,Tata Mutual Fund Short Duration Fund Dir,Low,-0.2463,-0.7856,1.61,4.67
121019,L&T Mutual Fund Short Duration Fund Dire,High,-0.2438,-0.8576,2.15,5.14
119551,SBI Mutual Fund Mid Cap Fund Direct Grow,Moderate,-0.2422,-0.8408,0.14,4.76
119092,Axis Mutual Fund ELSS Fund Direct Growth,Very High,-0.2415,-0.8036,2.15,4.92
121004,Nippon India Balanced Advantage Fund Dir,High,-0.241,-0.7885,0.99,4.76
118989,Mirae Asset Short Duration Fund Direct G,Moderate,-0.2373,-0.7621,1.92,4.61
121015,Invesco India Small Cap Fund Direct Grow,Very High,-0.2348,-0.7396,2.69,4.79
120712,Quantum Mutual Fund Flexi Cap Fund Direc,Very High,-0.2302,-0.8393,1.25,4.93
120465,Tata Mutual Fund Small Cap Fund Direct G,Low,-0.2206,-0.7719,2.34,4.69
118551,Canara Robeco ELSS Fund Direct Growth,Moderately High,-0.2132,-0.7709,3.3,4.99
121016,Edelweiss Flexi Cap Fund Direct Growth,Low,-0.2034,-0.7643,3.38,4.82
120333,Motilal Oswal Large Cap Fund Direct Grow,Moderate,-0.1999,-0.7219,3.2,4.63
121018,Sundaram Liquid Fund Direct Growth,Moderately High,-0.1808,-0.7601,3.86,4.89
121008,DSP Mutual Fund Flexi Cap Fund Direct Gr,Moderately High,-0.1778,-0.748,3.61,4.88
121020,Quantum Mutual Fund Balanced Advantage F,Very High,-0.1578,-0.6796,6.51,5.0
121014,PGIM India Mid Cap Fund Direct Growth,High,-0.1438,-0.7549,4.46,4.97
119386,Aditya Birla Flexi Cap Fund Direct Growt,Moderate,-0.1392,-0.7819,3.72,5.12
